leaf,tape,target,non-target
1030,0,5;0;6;8;1,5;0;6;8;1
1052,0,5;0;6;5;4,5;0;6;5
1072,0,5;0;9;0;6,5;0;9;0
1096,0,9,9
1103,0,1;0;0;8,1;0;0
1107,0,2;5;1,2;5
1108,0,2;9,2;9
1109,0,2;9;1,2;9
1113,0,2;5;4,2;5
1116,0,2;5;1,2;5;1
1119,0,2;5;1,2;5;1
1126,0,7;6;2;0,7;6;2
1143,0,7;6;8;5,7;6;8;5
1151,0,7;6;2;8,7;6;2
1153,0,9;0,9;0
1158,0,9;2;1,9;2;1
1168,0,2,2
1183,0,,
1186,0,7;5;8,7;5;8
1190,0,7;5;4;6,7;5;4
1225,0,3;6;1;7,3;6;1
1228,0,3;6;4;2,3;6;4
1232,0,8,
1237,0,5;3,5
1245,0,1;4,1
1266,0,6,
1270,0,3;4,3;4
1272,0,8,8
1284,0,7;0;9;4,7;0;9
1286,0,7;0;9;0,7;0;9
1295,0,7;0;8,7;0
1299,0,7;8,7;8
1335,0,7;9;2;8,7;9;2;8
1338,0,7;9;2;8;4,7;9;2;8;4
1339,0,7;9;2;8;4,7;9;2;8;4
1349,0,7;7;0;1,7;7;0;1
1373,0,7;7;0;8;8;4;9,7;7;0;8;8;4;9
1376,0,7;7;8,7;7;8
1377,0,7;7;8;1;1;8,7;7;8;1;1
1379,0,7;7;8;9,7;7;8;9
1393,0,7;7;5,7;7;5
1394,0,7;7;5;0,7;7;5;0
1401,0,7;7;5,7;7;5
1417,0,7;2;3;0;7,7;2;3;0
1444,0,7;2;0;8;1,7;2;0;8
1467,0,7;2,7;2
1471,0,7;2,7;2
1481,0,7;6,7
1483,0,7;8,7
1486,0,7;8;8;1,7;8;8
1489,0,7;5;5,7;5
1492,0,7;5;0,7;5;0
1493,0,7;5;0;2,7;5;0
1496,0,7;3,7
1504,0,7;8;6,7;8
1505,0,7;8;0,7;8;0
1510,0,7;8;7;4;6,7;8;7;4
1511,0,7;8;7,7;8;7
1518,0,7;1;4,7;1;4
1523,0,7;1,7;1
1537,0,4;0;3;8;4,4;0;3;8;4
1553,0,4;0;3;2,4;0;3
1595,0,4;0;3,4;0;3
1604,0,4;0;8;5,4;0;8
1621,0,4;0;8;4;6,4;0;8;4;6
1631,0,4;0;8;2,4;0;8
1634,0,4;0;5;9;2,4;0;5;9
1636,0,4;0;5;8;2;0;8,4;0;5;8;2;0
1637,0,4;0;5;8;2,4;0;5;8;2
1647,0,4;0;5,4;0;5
1654,0,4;0,4;0
1666,0,,
1685,0,4;9;4;1;0,4;9;4;1;0
1693,0,4;8;0,4;8;0
1695,0,4;8;6;0;4,4;8;6;0
1712,0,1;0;3,1;0;3
1723,0,1;3;5,1;3
1737,0,2;3,2;3
1738,0,2,2
1740,0,2;4,2
1757,0,8;6,8
1778,0,0;4,0;4
1784,0,0;8;4;4,0;8;4;4
1795,0,7;1;0;8;3,7;1;0;8
1810,0,7;1;5;9,7;1;5
1812,0,7;1;7;5,7;1;7
1813,0,7;1;7,7;1
1829,0,7;1;0;4,7;1;0;4
1835,0,7;1;4;6,7;1;4
1865,0,7;1;2;3;8;9;6,7;1;2;3;8;9
1873,0,7;1;2;3;0;5,7;1;2;3;0
1895,0,7;1;2,7;1;2
1910,0,7;1;2;3,7;1;2;3
1914,0,7;1;2;0;0;2;5,7;1;2;0;0;2
1937,0,7;1;0;0;5;8,7;1;0;0;5;8
1959,0,7;1,7;1
1981,0,7;1,7;1
1986,0,7;1;2;3;1;6,7;1;2;3;1;6
1987,0,7;1;2;3;1;0,7;1;2;3;1
1999,0,7;1;2;3,7;1;2;3
2001,0,7;1;2;3;8;7,7;1;2;3;8
2009,0,7;1;2;3;8;1,7;1;2;3;8;1
2014,0,7;1;2;3;8;8,7;1;2;3;8
2017,0,7;1;2;9;7,7;1;2;9
2047,0,7;1;2;1;7;1,7;1;2;1;7;1
