leaf,tape,target,non-target
128,0,2;3;2;6;8;4,2;3;2;6;8
129,0,2;3;2;4,2;3;2
130,0,2;3;2,2;3;2
131,0,2;3;2,2;3;2
132,0,2;3;2;5;8;6,2;3;2;5;8
133,0,2;3;2;5,2;3;2;5
134,0,2;3;2;5;0,2;3;2;5
135,0,2;3;2;5,2;3;2;5
136,0,2;3;9,2;3
137,0,2;3;1;8,2;3;1
138,0,2;3;7,2;3
139,0,2;3;5,2;3
140,0,2;3;0,2;3
141,0,2;3;2,2;3
142,0,2;3;1;8;5,2;3;1;8
143,0,2;3;1;5,2;3;1
144,0,2;3;9;9;1;9,2;3;9;9;1
145,0,2;3;9;9,2;3;9;9
146,0,2;3;9;3,2;3;9;3
147,0,2;3;9,2;3;9
148,0,2;3;9;0,2;3;9
149,0,2;3;9,2;3;9
150,0,2;3;9,2;3;9
151,0,2;3;9,2;3;9
152,0,2;3;6,2;3;6
153,0,2;3;1;5,2;3;1
154,0,2;3,2;3
155,0,2;3;3,2;3;3
156,0,2;3,2;3
157,0,2;3;2;7,2;3;2;7
158,0,2;3;8,2;3
159,0,2;3,2;3
160,0,2;3;6,2;3;6
161,0,2;3,2;3
162,0,2;0;3;6,2;0;3
163,0,2;0,2;0
164,0,2;9,2;9
165,0,2;0,2
166,0,2;4,2;4
167,0,2;4;6,2;4
168,0,2,2
169,0,2;0;8,2;0
170,0,2;0,2
171,0,2;8,2;8
172,0,2;3;1;4;9,2;3;1;4
173,0,2;3;1;2,2;3;1
174,0,2;3,2;3
175,0,2;3,2;3
176,0,2;0;8;9,2;0;8;9
177,0,2;0;8,2;0;8
178,0,2;0;8;0,2;0;8
179,0,2;0;8;2,2;0;8
180,0,2;0;6,2;0
181,0,2;0;8,2;0
182,0,2;0,2;0
183,0,2;0;9,2;0;9
184,0,2;0;5;7,2;0;5;7
185,0,2;0;5;7,2;0;5;7
186,0,2;0;5,2;0;5
187,0,2;0;5,2;0;5
188,0,2;0;5;5;2,2;0;5;5;2
189,0,2;0;5;5;2,2;0;5;5;2
190,0,2;0;5;5;4;3,2;0;5;5;4;3
191,0,2;0;5;5;1;4,2;0;5;5;1
192,0,5,5
193,0,5,5
194,0,5;1;5,5;1
195,0,5;1;5,5;1;5
196,0,5;6,5
197,0,5,5
198,0,5;8,5;8
199,0,5;8,5;8
200,0,8;6,8
201,0,8,8
202,0,8;6,8;6
203,0,8;6;4,8;6
204,0,2,
205,0,,
206,0,9,
207,0,7,
208,0,6;5,6;5
209,0,6,6
210,0,6;8;2,6;8
211,0,6;5,6
212,0,6,6
213,0,6;9,6
214,0,6;0;0,6;0
215,0,6;4,6
216,0,9;7;4,9;7
217,0,9,9
218,0,9;7;8,9;7;8
219,0,9;7;4;6,9;7;4
220,0,,
221,0,6,
222,0,0,0
223,0,0,0
224,0,2;1,2
225,0,2,2
226,0,2,2
227,0,2,2
228,0,2;5,2;5
229,0,2,2
230,0,2;6;4,2;6
231,0,2;6;3,2;6
232,0,2;5;8;1,2;5;8
233,0,2;5;0,2;5
234,0,2,2
235,0,2;4,2;4
236,0,2;6,2
237,0,2;8,2
238,0,2;9,2;9
239,0,2;9,2;9
240,0,2;5;2;7;0,2;5;2;7;0
241,0,2;5;2;7;9,2;5;2;7
242,0,2;5;2;7;7,2;5;2;7
243,0,2;5;2;7;9,2;5;2;7
244,0,2;5;2,2;5;2
245,0,2;5;2;0,2;5;2
246,0,2;5;2;4,2;5;2;4
247,0,2;5;2;4,2;5;2;4
248,0,2;5;6,2;5;6
249,0,2;5;6;2,2;5;6
250,0,2;5;7;7,2;5;7
251,0,2;5;8,2;5
252,0,2;5;6;5,2;5;6
253,0,2;5;6,2;5;6
254,0,2;5;6;7,2;5;6
255,0,2;5;6;9;3,2;5;6;9
