leaf,tape,target,non-target
1024,0,9;3;8;0,9;3;8
1025,0,9;3;9,9;3
1026,0,9;3;3;2,9;3;3
1027,0,9;3;3,9;3;3
1028,0,9;8,9;8
1029,0,9,9
1030,0,9;9;0,9;9
1031,0,9;4,9
1032,0,9;2,9;2
1033,0,9;2;6;5;1,9;2;6;5
1034,0,9;2;1,9;2;1
1035,0,9;2;1,9;2;1
1036,0,9;2;7;8,9;2;7;8
1037,0,9;2;7;2,9;2;7
1038,0,9;2;7;7,9;2;7
1039,0,9;2;7,9;2;7
1040,0,9;3,9;3
1041,0,9,9
1042,0,9;6;3,9;6
1043,0,9;6,9;6
1044,0,9;8;4;0;4,9;8;4;0;4
1045,0,9;8;4,9;8;4
1046,0,9;6,9;6
1047,0,9,9
1048,0,9;9;4,9;9
1049,0,9,9
1050,0,9;4;4;4,9;4;4
1051,0,9;4;6,9;4
1052,0,9;5;9,9;5;9
1053,0,9;5,9;5
1054,0,9;3;4;7;3,9;3;4;7
1055,0,9;3;4,9;3;4
1056,0,9;7;8,9;7
1057,0,9;7;1,9;7
1058,0,9;7;5,9;7;5
1059,0,9;7;5,9;7;5
1060,0,9;7,9;7
1061,0,9;7;1;6,9;7;1;6
1062,0,9;7,9;7
1063,0,9;7;3;7,9;7;3
1064,0,9,9
1065,0,9;4,9
1066,0,9,9
1067,0,9;2;4,9;2
1068,0,9;8,9;8
1069,0,9,9
1070,0,9,9
1071,0,9;4,9;4
1072,0,9;7;7,9;7;7
1073,0,9;7;7,9;7;7
1074,0,9;7;4,9;7
1075,0,9;7;9,9;7
1076,0,9;9,9
1077,0,9,9
1078,0,9,9
1079,0,9,9
1080,0,9;0;4;3;3,9;0;4;3
1081,0,9;0;4;3,9;0;4;3
1082,0,9;0;9,9;0
1083,0,9;0;6,9;0
1084,0,9;0;2;9,9;0;2;9
1085,0,9;0;2;9;5;9,9;0;2;9;5
1086,0,9;0;2;2;5,9;0;2;2;5
1087,0,9;0;2,9;0;2
1088,0,0,0
1089,0,0;0,0
1090,0,0;0,0;0
1091,0,0;0,0;0
1092,0,0;7,0
1093,0,0;3,0;3
1094,0,0;8;0,0;8
1095,0,0;8;4;8;2,0;8;4;8
1096,0,0;5;6,0;5
1097,0,0;5;8,0;5;8
1098,0,0,0
1099,0,0;2,0
1100,0,0;1,0;1
1101,0,0;1;3,0;1;3
1102,0,0;6;2,0;6;2
1103,0,0;6;1,0;6
1104,0,7;7;5,7;7
1105,0,7;7;9,7;7
1106,0,7;7;9,7;7
1107,0,7;7,7;7
1108,0,7;4,7
1109,0,7;4,7;4
1110,0,7;8;0,7;8
1111,0,7,7
1112,0,7;0;3;0;2,7;0;3;0
1113,0,7;0;3,7;0;3
1114,0,7;0,7;0
1115,0,7;0,7;0
1116,0,7;0;3;3;2;9,7;0;3;3;2
1117,0,7;0;3;3;2;5,7;0;3;3;2;5
1118,0,7;0;3;3,7;0;3;3
1119,0,7;0;3;3;3,7;0;3;3
1120,0,7;2;3,7;2;3
1121,0,7;4,7
1122,0,7;0;8,7;0;8
1123,0,7;9,7
1124,0,7;1;5;9,7;1;5
1125,0,7;1,7;1
1126,0,7;1,7;1
1127,0,7;1;3,7;1
1128,0,9;1,9
1129,0,3,
1130,0,5,
1131,0,,
1132,0,3;9,3
1133,0,3;6;3,3;6
1134,0,7,
1135,0,5,
1136,0,9;9,9;9
1137,0,9;9;2,9;9
1138,0,9;9;3,9;9
1139,0,9;9;8,9;9;8
1140,0,9;9;6;8,9;9;6
1141,0,9;9,9;9
1142,0,9;9;3;4,9;9;3;4
1143,0,9;9;3;6,9;9;3
1144,0,9;7,9
1145,0,9,9
1146,0,9;2;2;5,9;2;2
1147,0,9;2;4,9;2;4
1148,0,9;9,9;9
1149,0,9;9;3;9;1,9;9;3;9;1
1150,0,9;9,9
1151,0,9,9
