leaf,tape,target,non-target
256,0,0,0
257,0,0;4,0
258,0,0;5;9,0;5
259,0,0;5,0;5
260,0,0,0
261,0,0,0
262,0,0,0
263,0,0;2,0
264,0,0,0
265,0,0;2,0
266,0,0;1,0;1
267,0,0,0
268,0,0;3,0
269,0,0;5,0
270,0,0;0,0;0
271,0,0;0;6,0;0
272,0,0;3;4,0;3
273,0,0;3;0;1,0;3;0
274,0,0;3,0;3
275,0,0;3;6;6,0;3;6
276,0,0;3;1;2,0;3;1
277,0,0;3,0;3
278,0,0;3;7;1,0;3;7
279,0,0;3;7;5,0;3;7
280,0,0;6,0;6
281,0,0;6,0;6
282,0,0;6;6;8,0;6;6;8
283,0,0;6,0;6
284,0,0;7;5,0;7
285,0,0;7,0;7
286,0,0;7;3,0;7
287,0,0;7;8,0;7;8
288,0,0;2,0;2
289,0,0;2;9,0;2
290,0,0;2;1;9,0;2;1
291,0,0;2;1;2,0;2;1
292,0,0;2;8,0;2;8
293,0,0;2;8;4,0;2;8;4
294,0,0;2;8,0;2;8
295,0,0;2;8;5,0;2;8
296,0,0;2;4,0;2
297,0,0;2,0
298,0,0;5,0;5
299,0,0;5;5,0;5;5
300,0,0;2;5,0;2;5
301,0,0;2;5;4,0;2;5;4
302,0,0;2,0;2
303,0,0;2;3,0;2
304,0,0;6,0;6
305,0,0,0
306,0,0,0
307,0,0;7,0
308,0,0,0
309,0,0;9,0
310,0,0;8;3,0;8
311,0,0,0
312,0,0;0;6;0,0;0;6;0
313,0,0;0;6,0;0;6
314,0,0;0;6,0;0;6
315,0,0;0;6;4,0;0;6
316,0,0;2;6,0;2
317,0,0;2;9,0;2;9
318,0,0;2,0;2
319,0,0;2;5,0;2
320,0,0;6;1;9,0;6;1;9
321,0,0;6;1,0;6;1
322,0,0;6;1;8,0;6;1;8
323,0,0;6;1;8;0,0;6;1;8;0
324,0,0;6;1;4,0;6;1;4
325,0,0;6;1;4;7;2,0;6;1;4;7
326,0,0;6;1;4;8;4,0;6;1;4;8
327,0,0;6;1;4,0;6;1;4
328,0,0;6;1,0;6;1
329,0,0;6;1;0,0;6;1
330,0,0;6;1,0;6;1
331,0,0;6;1;5;6,0;6;1;5
332,0,0;6;1;7,0;6;1
333,0,0;6;1,0;6;1
334,0,0;6;1;4,0;6;1
335,0,0;6;1,0;6;1
336,0,0;6;0,0;6;0
337,0,0;6;0;5,0;6;0
338,0,0;6;0;1,0;6;0;1
339,0,0;6;0;1;1,0;6;0;1
340,0,0;6;3;9;2,0;6;3;9
341,0,0;6;3,0;6;3
342,0,0;6;5;5,0;6;5
343,0,0;6;5;0,0;6;5
344,0,0;6;9,0;6
345,0,0;6,0;6
346,0,0;6;4;9;0,0;6;4;9
347,0,0;6;4;5,0;6;4
348,0,0;6;3,0;6
349,0,0;6,0;6
350,0,0;6;1,0;6
351,0,0;6;0,0;6;0
352,0,0;0;3,0;0;3
353,0,0;0;3,0;0;3
354,0,0;0;3;8,0;0;3;8
355,0,0;0;3;2,0;0;3
356,0,0;0;3;9;5,0;0;3;9
357,0,0;0;3;9,0;0;3;9
358,0,0;0;3;5,0;0;3
359,0,0;0;3,0;0;3
360,0,0;0;6,0;0;6
361,0,0;0;6;2;7,0;0;6;2
362,0,0;0;9;3,0;0;9
363,0,0;0;3,0;0
364,0,0;0;6;6,0;0;6
365,0,0;0;6;8,0;0;6;8
366,0,0;0;5,0;0;5
367,0,0;0;5;0;0,0;0;5;0
368,0,0;0;7;2;1,0;0;7;2;1
369,0,0;0;7;2;1,0;0;7;2;1
370,0,0;0;7;2;0;6,0;0;7;2;0
371,0,0;0;7;2,0;0;7;2
372,0,0;0;7;6;0,0;0;7;6;0
373,0,0;0;7;6;0,0;0;7;6;0
374,0,0;0;7,0;0;7
375,0,0;0;7,0;0;7
376,0,0;0;1;7;5,0;0;1;7
377,0,0;0;1;8,0;0;1
378,0,0;0,0;0
379,0,0;0,0;0
380,0,0;0;6,0;0;6
381,0,0;0;6,0;0;6
382,0,0;0;6,0;0;6
383,0,0;0;6,0;0;6
384,0,1;0,1
385,0,1,1
386,0,1;2,1
387,0,1;4;1,1;4
388,0,1;5,1
389,0,1,1
390,0,1;6,1;6
391,0,1,1
392,0,1;3;0,1;3
393,0,1;3,1;3
394,0,1;6;0,1;6
395,0,1;1,1
396,0,1;9;5,1;9
397,0,1;9,1;9
398,0,1;9;6;6,1;9;6;6
399,0,1;9;6;6,1;9;6;6
400,0,1,1
401,0,1;4,1
402,0,1;4,1;4
403,0,1;4;6,1;4
404,0,1;1,1
405,0,1;2;5,1;2
406,0,1;3,1;3
407,0,1,1
408,0,1,1
409,0,1;2;1,1;2
410,0,1,1
411,0,1,1
412,0,1,1
413,0,1;0,1;0
414,0,1;5,1;5
415,0,1;5;6,1;5
416,0,1;3;7;5;9,1;3;7;5
417,0,1;3;7;5,1;3;7;5
418,0,1;3;7;9;0,1;3;7;9
419,0,1;3;7,1;3;7
420,0,1;3;7,1;3;7
421,0,1;3;7;2,1;3;7
422,0,1;3;7;5,1;3;7;5
423,0,1;3;7;5;8,1;3;7;5
424,0,1;3;7;8;7,1;3;7;8
425,0,1;3;7;8,1;3;7;8
426,0,1;3;7;8;8,1;3;7;8
427,0,1;3;7;8;7,1;3;7;8
428,0,1;3;7;8;6,1;3;7;8
429,0,1;3;7;8,1;3;7;8
430,0,1;3;7;8;4;1,1;3;7;8;4
431,0,1;3;7;8,1;3;7;8
432,0,1;4;3;7;7;1,1;4;3;7;7
433,0,1;4;3;7,1;4;3;7
434,0,1;4;1;9,1;4;1
435,0,1;4,1;4
436,0,1;0;3,1;0
437,0,1,1
438,0,1,1
439,0,1;6;6,1;6
440,0,1;6;1,1;6
441,0,1;6,1;6
442,0,1;6;2;0,1;6;2
443,0,1;6;2;8;6,1;6;2;8
444,0,1;6;2;7,1;6;2;7
445,0,1;6;2,1;6;2
446,0,1;6;1;0,1;6;1
447,0,1;6;1,1;6;1
448,0,2;5;2;6,2;5;2
449,0,2;5;2,2;5;2
450,0,2;5;2;5,2;5;2
451,0,2;5;2,2;5;2
452,0,2;5;2;8;0,2;5;2;8
453,0,2;5;2;8;7,2;5;2;8
454,0,2;5;2;8;5,2;5;2;8;5
455,0,2;5;2;8;5,2;5;2;8;5
456,0,2;5,2;5
457,0,2;5;5,2;5;5
458,0,2;5;7;7,2;5;7
459,0,2;5;7,2;5;7
460,0,2;5;6,2;5
461,0,2;5;1,2;5
462,0,2;5,2;5
463,0,2;5;3,2;5;3
464,0,2;6;3;2;1,2;6;3;2;1
465,0,2;6;3;2;5;7,2;6;3;2;5
466,0,2;6;3;0,2;6;3;0
467,0,2;6;3;0;7;2,2;6;3;0;7
468,0,2;6,2;6
469,0,2;6;1,2;6;1
470,0,2;6;1;6,2;6;1
471,0,2;6;1;9;5,2;6;1;9
472,0,2;8;1,2;8;1
473,0,2;8;1,2;8;1
474,0,2;8;2,2;8;2
475,0,2;8;2,2;8;2
476,0,2,2
477,0,2;8,2
478,0,2;8,2
479,0,2,2
480,0,2,2
481,0,2,2
482,0,2,2
483,0,2;9,2
484,0,2;1;8;0,2;1;8
485,0,2;1,2;1
486,0,2,2
487,0,2,2
488,0,1,1
489,0,1,1
490,0,1;9,1
491,0,1;6;3,1;6
492,0,4,
493,0,1;9,1
494,0,,
495,0,,
496,0,3,3
497,0,3;1,3;1
498,0,3;8;8,3;8
499,0,3;8;3,3;8;3
500,0,3;2;0,3;2
501,0,3;2,3;2
502,0,3;8,3
503,0,3,3
504,0,9,9
505,0,7;8,7
506,0,2;3;0,2;3
507,0,2;9;3;5,2;9;3
508,0,6,6
509,0,,
510,0,,
511,0,1,1
