leaf,tape,target,non-target
128,0,1;4;4,1;4
129,0,1;4,1;4
130,0,1;4;5,1;4;5
131,0,1;4;5,1;4;5
132,0,1;4;6,1;4;6
133,0,1;4;6;4,1;4;6
134,0,1;4;6;3;5,1;4;6;3
135,0,1;4;6;3;0,1;4;6;3;0
136,0,1;4;5,1;4
137,0,1;4,1;4
138,0,1;4,1;4
139,0,1;4,1;4
140,0,1;4;3,1;4;3
141,0,1;4;3;9;6,1;4;3;9
142,0,1;4,1;4
143,0,1;4,1;4
144,0,1;1;5,1;1;5
145,0,1;1;5;1,1;1;5;1
146,0,1;1;2,1;1;2
147,0,1;1;2,1;1
148,0,1;1;4;0;8,1;1;4;0;8
149,0,1;1;4;0;5,1;1;4;0
150,0,1;1;4;0;3,1;1;4;0;3
151,0,1;1;4;0;3;8,1;1;4;0;3
152,0,1;9;4,1;9;4
153,0,1;9;4;0;6,1;9;4;0
154,0,1;9,1;9
155,0,1;9;3,1;9;3
156,0,1;9,1
157,0,1,1
158,0,1;9,1;9
159,0,1;9,1;9
160,0,1;9;4;4;7;1,1;9;4;4;7;1
161,0,1;9;4,1;9;4
162,0,1;9;4;6;7,1;9;4;6
163,0,1;9;4;6,1;9;4;6
164,0,1;9;7,1;9;7
165,0,1;9;7,1;9;7
166,0,1;9;7,1;9;7
167,0,1;9;7,1;9;7
168,0,1;9;8,1;9;8
169,0,1;9;8,1;9;8
170,0,1;9;3,1;9;3
171,0,1;9;3;7,1;9;3
172,0,1;9;3,1;9
173,0,1;9,1;9
174,0,1;9;9;5,1;9;9
175,0,1;9;9;2,1;9;9
176,0,1;7,1
177,0,1;9,1;9
178,0,1;2,1;2
179,0,1;3,1
180,0,1;2;2,1;2
181,0,1;4;4;4,1;4;4
182,0,1,1
183,0,1,1
184,0,1;7;4;2,1;7;4;2
185,0,1;7;4;2,1;7;4;2
186,0,1;7;4;1;8,1;7;4;1;8
187,0,1;7;4,1;7;4
188,0,1;7;4,1;7;4
189,0,1;7;4;7,1;7;4;7
190,0,1;7;2,1;7;2
191,0,1;7;6,1;7;6
192,0,0;2;4,0;2
193,0,0;2;1,0;2
194,0,0,0
195,0,0;7,0
196,0,0;9;0;0,0;9;0
197,0,0;9;0;6;2,0;9;0;6
198,0,0;9;7,0;9
199,0,0;9,0;9
200,0,0;4;3;3,0;4;3
201,0,0;4,0;4
202,0,0;4;2;4,0;4;2
203,0,0;4;2;5;9,0;4;2;5
204,0,0;2;8;7,0;2;8
205,0,0;2;7,0;2
206,0,0;9;5,0;9
207,0,0;5;0;0,0;5;0
208,0,0;1,0;1
209,0,0;1,0;1
210,0,0;1;5;7;8,0;1;5;7;8
211,0,0;1;5;7,0;1;5;7
212,0,0,0
213,0,0;8,0
214,0,0;8,0
215,0,0,0
216,0,0;9;5;2,0;9;5;2
217,0,0;9;5;6,0;9;5
218,0,0;9;9;3;7,0;9;9;3
219,0,0;9;9;9,0;9;9
220,0,0;9;2;6;3,0;9;2;6
221,0,0;9;2;6,0;9;2;6
222,0,0;9;2;7;0;7,0;9;2;7;0
223,0,0;9;2;7,0;9;2;7
224,0,9;1,9;1
225,0,9;1,9;1
226,0,9;1;0,9;1;0
227,0,9;1;0,9;1;0
228,0,9;1;1,9;1;1
229,0,9;1,9;1
230,0,9;1;8,9;1;8
231,0,9;1;9,9;1
232,0,9;8;9,9;8
233,0,9;8,9;8
234,0,9;3;5;8,9;3;5;8
235,0,9;3;9,9;3
236,0,9;1;5,9;1
237,0,9;1;0,9;1
238,0,9;1,9;1
239,0,9;1;4;6,9;1;4
240,0,4;5,4
241,0,4;8;1,4;8
242,0,4,4
243,0,4;9;6,4;9
244,0,,
245,0,2;2,2
246,0,6,
247,0,,
248,0,7,7
249,0,7;3,7;3
250,0,7;6,7
251,0,7,7
252,0,1,1
253,0,9;1,9
254,0,0;8,0
255,0,0;0,0;0
