leaf,tape,target,non-target
39,0,6;3;3;0;4,6;3;3;0
200,0,6;3;4;3;0;9;8;1,6;3;4;3;0;9;8;1
204,0,6;3;4;3;4;0;6;8,6;3;4;3;4;0;6;8
205,0,6;3;4;3;4;0;6;0,6;3;4;3;4;0;6
234,0,6;4;5;8;3;9;1,6;4;5;8;3;9
236,0,6;4;9;7;8,6;4;9;7
258,0,0;3;2;3;3;7;8;2,0;3;2;3;3;7;8;2
298,0,0;2;2;6;2;2;3,0;2;2;6;2;2
300,0,0;2;2;8;3,0;2;2;8
307,0,0;2;3;2;0,0;2;3;2
312,0,6;1;5;9;9;6;5;2,6;1;5;9;9;6;5;2
314,0,6;1;5;9;9;9;2;8,6;1;5;9;9;9;2;8
325,0,6;1;5;7;1,6;1;5;7;1
330,0,6;1;9;9;6;8;7;0,6;1;9;9;6;8;7
334,0,6;1;9;9;9;7;6;2,6;1;9;9;9;7;6;2
335,0,6;1;9;9;9;7;6;8,6;1;9;9;9;7;6
336,0,6;1;9;9;9;7;0;5,6;1;9;9;9;7;0
343,0,6;3;4;3;0;9;8;5,6;3;4;3;0;9;8
353,0,6;3;4;3;9;5,6;3;4;3;9
372,0,6;3;4;3;5;3;4,6;3;4;3;5;3
373,0,6;3;4;3;5;1,6;3;4;3;5
391,0,6;4;2;3;0,6;4;2;3
407,0,6;8;6;4,6;8;6
418,0,0;3;2;3;3;2;3;1,0;3;2;3;3;2;3;1
420,0,0;3;2;3;3;8;8;2,0;3;2;3;3;8;8
434,0,0;3;4;3;6;3,0;3;4;3;6
452,0,0;2;7;5;9;6;6,0;2;7;5;9;6
470,0,6;1;5;9;9;9;2;0,6;1;5;9;9;9;2;0
489,0,6;1;9;9;9;9;0,6;1;9;9;9;9
495,0,6;3;4;3;0;9;8;8,6;3;4;3;0;9;8;8
511,0,6;3;4;1;9;2,6;3;4;1;9
512,0,6;3;4;1;2;9,6;3;4;1;2
513,0,6;3;4;1;7,6;3;4;1
525,0,6;4;5;4;9;7;1,6;4;5;4;9;7
529,0,6;4;5;4;2;0,6;4;5;4;2
542,0,6;8;6;1;2;4;2,6;8;6;1;2;4
569,0,0;2;7;5;7;5;4;8,0;2;7;5;7;5;4;8
621,0,6;1;5;9;0;5;0,6;1;5;9;0;5
626,0,6;1;5;9;9;3;5,6;1;5;9;9;3
629,0,6;1;9;9;9;9;7;3,6;1;9;9;9;9;7;3
632,0,6;3;4;3;0;9;3;6,6;3;4;3;0;9;3;6
669,0,6;4;9;6;7,6;4;9;6
683,0,0;2;7;5;8;8;1;2,0;2;7;5;8;8;1;2
690,0,0;2;7;5;8;8;1;6,0;2;7;5;8;8;1;6
710,0,0;2;7;5;7;3;3;5,0;2;7;5;7;3;3;5
716,0,6;1;5;9;9;3;3;1,6;1;5;9;9;3;3;1
718,0,6;1;5;9;9;3;3;1,6;1;5;9;9;3;3;1
721,0,6;1;5;9;9;3;3;1,6;1;5;9;9;3;3;1
734,0,6;1;5;9;9;3;7;4,6;1;5;9;9;3;7;4
745,0,6;1;5;9;9;7;9;2,6;1;5;9;9;7;9
748,0,6;1;5;9;2;2,6;1;5;9;2
750,0,6;3;4;3;0;9;3;6,6;3;4;3;0;9;3;6
765,0,6;4;5;4;9;4;3;9,6;4;5;4;9;4;3;9
779,0,6;5;8,6;5
782,0,0;2;7;5;8;8;1;2,0;2;7;5;8;8;1;2
784,0,0;2;7;5;8;8;1;2,0;2;7;5;8;8;1;2
785,0,0;2;7;5;8;8;1;2,0;2;7;5;8;8;1;2
787,0,0;2;7;5;8;8;1;2,0;2;7;5;8;8;1;2
790,0,0;2;7;5;8;8;1;2,0;2;7;5;8;8;1;2
794,0,0;2;7;5;8;8;1;6,0;2;7;5;8;8;1;6
808,0,0;2;7;5;8;7;7;3,0;2;7;5;8;7;7;3
854,0,6;5;1;0;1;3;4,6;5;1;0;1;3
861,0,0;2;7;5;8;8;1;6,0;2;7;5;8;8;1;6
862,0,0;2;7;5;8;8;1;6,0;2;7;5;8;8;1;6
863,0,0;2;7;5;8;8;1;6,0;2;7;5;8;8;1;6
877,0,0;2;7;5;7;3;2;6,0;2;7;5;7;3;2;6
897,0,6;1;5;9;9;3;8;9,6;1;5;9;9;3;8;9
899,0,6;1;5;9;9;3;8;9,6;1;5;9;9;3;8;9
910,0,0;2;7;5;8;8;1;8,0;2;7;5;8;8;1;8
