leaf,tape,target,non-target
20,0,6;7;3;0;8,6;7;3;0
37,0,6;3;0;2,6;3;0
38,0,6;3;3;3;3,6;3;3;3
39,0,6;3;3;0;4,6;3;3;0
41,0,6;7;3;2,6;7;3
57,0,6;1;5;7;6;9,6;1;5;7;6
70,0,6;3;0;2;4;5,6;3;0;2;4
71,0,6;3;0;2;3,6;3;0;2
72,0,6;7;3;9;4;8,6;7;3;9;4
73,0,6;7;3;9;1,6;7;3;9
102,0,6;1;5;7;1;7;3,6;1;5;7;1;7
106,0,6;1;9;9;6;2;7;1,6;1;9;9;6;2;7;1
110,0,6;1;9;9;2;0,6;1;9;9;2
111,0,6;1;9;9;5;6;2,6;1;9;9;5;6
132,0,6;4;9;2;0,6;4;9;2
145,0,0;3;2;3;3;7;9,0;3;2;3;3;7
154,0,0;3;5;0;7;7,0;3;5;0;7
156,0,0;3;4;3;6;4,0;3;4;3;6
165,0,0;2;7;7;9,0;2;7;7
168,0,0;2;2;7;4;7;7,0;2;2;7;4;7
169,0,0;2;2;7;4;4,0;2;2;7;4
174,0,0;2;3;6;2;8,0;2;3;6;2
184,0,6;1;5;7;1;1;8,6;1;5;7;1;1
187,0,6;1;9;9;6;8;6;1,6;1;9;9;6;8;6;1
190,0,6;1;9;9;6;2;4,6;1;9;9;6;2
194,0,6;1;9;9;9;0;8,6;1;9;9;9;0
197,0,6;3;4;3;0;9;3;6,6;3;4;3;0;9;3;6
198,0,6;3;4;3;0;9;3;7,6;3;4;3;0;9;3;7
199,0,6;3;4;3;0;9;3;8,6;3;4;3;0;9;3
200,0,6;3;4;3;0;9;8;1,6;3;4;3;0;9;8;1
201,0,6;3;4;3;0;9;8;0,6;3;4;3;0;9;8
204,0,6;3;4;3;4;0;6;8,6;3;4;3;4;0;6;8
205,0,6;3;4;3;4;0;6;0,6;3;4;3;4;0;6
206,0,6;3;4;3;4;0;6;1,6;3;4;3;4;0;6;1
212,0,6;3;4;1;6;7;5;4,6;3;4;1;6;7;5
213,0,6;3;4;1;6;7;9,6;3;4;1;6;7
215,0,6;3;4;1;6;8,6;3;4;1;6
224,0,6;3;4;3;0;0;7;0,6;3;4;3;0;0;7
225,0,6;3;4;3;0;0;8,6;3;4;3;0;0
234,0,6;4;5;8;3;9;1,6;4;5;8;3;9
235,0,6;4;5;8;3;8,6;4;5;8;3
236,0,6;4;9;7;8,6;4;9;7
