leaf,tape,target,non-target
1024,0,0;7;5,0;7
1025,0,0;7;8,0;7
1026,0,0;7;2,0;7
1027,0,0;7;3,0;7
1028,0,0;7;4;6;1,0;7;4;6
1029,0,0;7;3,0;7
1030,0,0;7;7,0;7;7
1031,0,0;7;7;2,0;7;7
1032,0,0;7;7,0;7;7
1033,0,0;7;7;0,0;7;7;0
1034,0,0;7;7;2,0;7;7
1035,0,0;7;7,0;7;7
1036,0,0;7;7;5;9,0;7;7;5;9
1037,0,0;7;7;5;8,0;7;7;5;8
1038,0,0;7;7;5;5,0;7;7;5;5
1039,0,0;7;7;5;5;1,0;7;7;5;5;1
1040,0,0;7,0;7
1041,0,0;7;0,0;7
1042,0,0;7;0,0;7;0
1043,0,0;7;0,0;7;0
1044,0,0;7,0;7
1045,0,0;7,0;7
1046,0,0;7;3;3,0;7;3;3
1047,0,0;7;3,0;7;3
1048,0,0;7;8;1,0;7;8;1
1049,0,0;7;8;1,0;7;8;1
1050,0,0;7;8;1,0;7;8;1
1051,0,0;7;8;1,0;7;8;1
1052,0,0;7;9,0;7
1053,0,0;7,0;7
1054,0,0;7;7;6,0;7;7
1055,0,0;7;7;2,0;7;7
1056,0,0;7;6;4,0;7;6
1057,0,0;7;6;8;2,0;7;6;8
1058,0,0;7;6,0;7;6
1059,0,0;7;6;5,0;7;6;5
1060,0,0;7;6;3,0;7;6
1061,0,0;7;6,0;7;6
1062,0,0;7;6;9,0;7;6;9
1063,0,0;7;6;9,0;7;6;9
1064,0,0;7,0;7
1065,0,0;7,0;7
1066,0,0;7;7;0;5;4;5,0;7;7;0;5;4
1067,0,0;7;7,0;7;7
1068,0,0;7,0;7
1069,0,0;7;2,0;7
1070,0,0;7,0;7
1071,0,0;7;3,0;7
1072,0,0;7;1,0;7
1073,0,0;7,0;7
1074,0,0;7;4;6,0;7;4
1075,0,0;7;8,0;7
1076,0,0;7;9;5,0;7;9
1077,0,0;7,0;7
1078,0,0;7;3,0;7;3
1079,0,0;7;3;7,0;7;3
1080,0,0;7;4;7;4,0;7;4;7;4
1081,0,0;7;4;7,0;7;4;7
1082,0,0;7;4;7,0;7;4;7
1083,0,0;7;4;7,0;7;4;7
1084,0,0;7;4;1,0;7;4
1085,0,0;7;4;2,0;7;4;2
1086,0,0;7;4;1;0;8,0;7;4;1;0;8
1087,0,0;7;4;1;9,0;7;4;1;9
1088,0,0;7;0;3;3;0;3,0;7;0;3;3;0
1089,0,0;7;0;3;3;7,0;7;0;3;3
1090,0,0;7;0;3;3;0;7;7,0;7;0;3;3;0;7;7
1091,0,0;7;0;3;3;0;7;6,0;7;0;3;3;0;7
1092,0,0;7;0;3;6;2,0;7;0;3;6
