leaf,tape,target,non-target
256,0,3,
257,0,2;2,2
258,0,,
259,0,4,4
260,0,4;5,4;5
261,0,4;5,4;5
262,0,4;5;4;0,4;5;4;0
263,0,4;5;4;7,4;5;4
264,0,7;0;8;6,7;0;8
265,0,7;0;8,7;0;8
266,0,7;1,7
267,0,7;4,7
268,0,8;6,8;6
269,0,8,8
270,0,,
271,0,9,9
272,0,8;2;1,8;2;1
273,0,8;2,8;2
274,0,8;2;3,8;2
275,0,8;2;2,8;2;2
276,0,8;4;6,8;4
277,0,8;8,8
278,0,8,8
279,0,8;3,8;3
280,0,7,
281,0,,
282,0,3,
283,0,,
284,0,6;6,6;6
285,0,6;3;2,6;3
286,0,6;2;9,6;2;9
287,0,6;2;9,6;2
288,0,2,2
289,0,2,2
290,0,6;7,6
291,0,0,
292,0,4,4
293,0,4,
294,0,5;7,5;7
295,0,5,5
296,0,1;1;5,1;1
297,0,1;1;2,1;1
298,0,1;8;7,1;8;7
299,0,1;8;7,1;8
300,0,1;7,1
301,0,1;4,1
302,0,1;6;5,1;6
303,0,1;6;0,1;6
304,0,9;1;1,9;1;1
305,0,9;1,9;1
306,0,9;1;3,9;1;3
307,0,9;1;2,9;1
308,0,9;2,9;2
309,0,9;2,9;2
310,0,9;2,9;2
311,0,9;2;8,9;2
312,0,9;9;1,9;9;1
313,0,9;9;1,9;9;1
314,0,9;9;0;0,9;9;0
315,0,9;9;0,9;9;0
316,0,9;9;5,9;9
317,0,9;9,9;9
318,0,9;9;2;2;4,9;9;2;2;4
319,0,9;9;2;2;1,9;9;2;2
320,0,9;5;3,9;5;3
321,0,9;5;3;6,9;5;3;6
322,0,9;5;2,9;5;2
323,0,9;5;2;5;3,9;5;2;5;3
324,0,9;5;1;0,9;5;1
325,0,9;5,9;5
326,0,9;5;7;0,9;5;7
327,0,9;5;5,9;5
328,0,9;3,9;3
329,0,9,9
330,0,9;0,9
331,0,9;4,9
332,0,9;3,9;3
333,0,9;3;2,9;3;2
334,0,9;3;2;6,9;3;2
335,0,9;3;2;8,9;3;2
336,0,9;9;1;7,9;9;1
337,0,9;9,9;9
338,0,9,9
339,0,9,9
340,0,9,9
341,0,9,9
342,0,9,9
343,0,9;7,9
344,0,9,9
345,0,9,9
346,0,9;6;6,9;6;6
347,0,9;6;6;0;1,9;6;6;0
348,0,9,9
349,0,9;0;9,9;0
350,0,9;6,9
351,0,9;7,9
352,0,9;0,9;0
353,0,9;0,9;0
354,0,9;0,9;0
355,0,9;0;8,9;0
356,0,9;3;4;5,9;3;4
357,0,9;2,9
358,0,9,9
359,0,9;1;2,9;1;2
360,0,9;1,9;1
361,0,9;1,9;1
362,0,9;1;5,9;1;5
363,0,9;1;7,9;1;7
364,0,9;3,9;3
365,0,9;3,9;3
366,0,9;9,9
367,0,9;9;0,9;9
368,0,9;3,9;3
369,0,9,9
370,0,9,9
371,0,9,9
372,0,9,9
373,0,9;6;7,9;6
374,0,9;0,9;0
375,0,9;0;4;9,9;0;4
376,0,9;1;2;5,9;1;2;5
377,0,9;1;9,9;1
378,0,9;1;7,9;1
379,0,9;1,9;1
380,0,9;1;4;5;7,9;1;4;5;7
381,0,9;1;4;5;1,9;1;4;5
382,0,9;1;7,9;1
383,0,9;1,9;1
384,0,3;7,3;7
385,0,3;7;0,3;7;0
386,0,3;7,3;7
387,0,3;7;9;1,3;7;9
388,0,3,3
389,0,3;8;3,3;8
390,0,3;8,3;8
391,0,3;8;2;3;9,3;8;2;3;9
392,0,3,3
393,0,3;5,3;5
394,0,3;9;8,3;9
395,0,3;9;7;0,3;9;7
396,0,3;9;1;4,3;9;1
397,0,3;9,3;9
398,0,3;1;1,3;1;1
399,0,3;1;1;8,3;1;1;8
400,0,3;7;1,3;7
401,0,3;7,3;7
402,0,3;7,3;7
403,0,3;7;6,3;7;6
404,0,3;7,3;7
405,0,3;7,3;7
406,0,3;7;9,3;7
407,0,3;7,3;7
408,0,3;7;3;6,3;7;3
409,0,3;7;3;6,3;7;3;6
410,0,3;7;3;5;8;8,3;7;3;5;8
411,0,3;7;3;5,3;7;3;5
412,0,3;7;5,3;7;5
413,0,3;7;5,3;7;5
414,0,3;7;9;0,3;7;9
415,0,3;7,3;7
416,0,3;1;2,3;1
417,0,3;1,3;1
418,0,3;1;0,3;1
419,0,3;1;0,3;1;0
420,0,3;5,3;5
421,0,3;5;6,3;5
422,0,3;2,3
423,0,3;1;5;8,3;1;5;8
424,0,3;0;9;8,3;0;9
425,0,3;0;9;0;1,3;0;9;0;1
426,0,3;0,3;0
427,0,3;0,3;0
428,0,3;7,3;7
429,0,3;7;6,3;7;6
430,0,3;7;3,3;7
431,0,3;7;2;2,3;7;2
432,0,3;8,3
433,0,3;1,3
434,0,3;3,3;3
435,0,3;3,3;3
436,0,3;5;3,3;5;3
437,0,3;5;3;3,3;5;3
438,0,3;5;8,3;5;8
439,0,3;5;8;1,3;5;8
440,0,3;7;2;4;6;5,3;7;2;4;6;5
441,0,3;7;2;4;2,3;7;2;4
442,0,3;7;2;4;7;5,3;7;2;4;7;5
443,0,3;7;2;4;7,3;7;2;4;7
444,0,3;7;0,3;7;0
445,0,3;7;0,3;7;0
446,0,3;7;0,3;7;0
447,0,3;7;0;8,3;7;0
448,0,3;9;3;3;3,3;9;3;3;3
449,0,3;9;3;3,3;9;3;3
450,0,3;9;3;3;3,3;9;3;3;3
451,0,3;9;3;3;3,3;9;3;3;3
452,0,3;9;3;9,3;9;3
453,0,3;9;3;0,3;9;3
454,0,3;9;3;1,3;9;3
455,0,3;9;3,3;9;3
456,0,3;9;3;0,3;9;3
457,0,3;9,3;9
458,0,3;9;2;2;9,3;9;2;2;9
459,0,3;9;2;2;9;5;7,3;9;2;2;9;5
460,0,3;9,3;9
461,0,3;9;2,3;9;2
462,0,3;9;8;3;3,3;9;8;3
463,0,3;9;8,3;9;8
464,0,3;8;4;2,3;8;4
465,0,3;8;4;7,3;8;4
466,0,3;8;1,3;8
467,0,3;8;6,3;8;6
468,0,3;8;7;4,3;8;7
469,0,3;8;7,3;8;7
470,0,3;8;7;5,3;8;7
471,0,3;8;7;0,3;8;7
472,0,3;2,3
473,0,3;1,3;1
474,0,3;3;0,3;3
475,0,3;8;9,3;8
476,0,3;3,3;3
477,0,3;6,3
478,0,3;3,3
479,0,3,3
480,0,3;9,3;9
481,0,3;9;6,3;9
482,0,3;1,3;1
483,0,3;8,3
484,0,3,3
485,0,3,3
486,0,3;0;0,3;0
487,0,3;0,3;0
488,0,3,3
489,0,3;6,3;6
490,0,3,3
491,0,3;9;1,3;9
492,0,3;8;5,3;8
493,0,3;8;1,3;8
494,0,3,3
495,0,3,3
496,0,3;1;8,3;1
497,0,3;1,3;1
498,0,3;5,3
499,0,3;4,3;4
500,0,3;4,3;4
501,0,3;4,3;4
502,0,3;7,3
503,0,3,3
504,0,3;4;6,3;4
505,0,3;4;6,3;4
506,0,3;4;2,3;4;2
507,0,3;4,3;4
508,0,3;9;9;7,3;9;9
509,0,3;9;9,3;9;9
510,0,3;9;9;9,3;9;9
511,0,3;9;9,3;9;9
