11 5 {'weight': 4.970204830169678}
11 10 {'weight': 4.970206260681152}
12 8 {'weight': 4.9702043533325195}
12 2 {'weight': 4.970207691192627}
13 4 {'weight': 4.970206260681152}
13 7 {'weight': 4.970205307006836}
14 6 {'weight': 4.9702043533325195}
14 9 {'weight': 4.970210552215576}
15 13 {'weight': 4.9702043533325195}
15 12 {'weight': 4.9702043533325195}
16 11 {'weight': 4.9702043533325195}
16 3 {'weight': 4.970210075378418}
17 14 {'weight': 4.9702043533325195}
17 1 {'weight': 4.9702043533325195}
18 0 {'weight': 4.970206260681152}
18 16 {'weight': 4.9702043533325195}
19 17 {'weight': 4.9702043533325195}
19 15 {'weight': 4.9702043533325195}
20 18 {'weight': 4.9702043533325195}
20 19 {'weight': 4.9702043533325195}
dummy_root 20 {'weight': Array(4.9702044, dtype=float32)}
