leaf,tape,target,non-target
1024,0,8;8;8,8;8;8
1025,0,8;8;8,8;8;8
1026,0,8;8;8,8;8;8
1027,0,8;8;8,8;8;8
1028,0,8;8;3,8;8;3
1029,0,8;8;3;1,8;8;3
1030,0,8;8,8;8
1031,0,8;8;0,8;8
1032,0,8,8
1033,0,8,8
1034,0,8;8,8;8
1035,0,8,8
1036,0,8;2,8;2
1037,0,8;2;5,8;2;5
1038,0,8;2;6,8;2
1039,0,8,8
1040,0,8;7;6;5,8;7;6
1041,0,8;0,8
1042,0,8;6,8;6
1043,0,8;6;0,8;6
1044,0,8,8
1045,0,8,8
1046,0,8;4,8
1047,0,8;9,8
1048,0,8;2;0,8;2
1049,0,8;2;2,8;2
1050,0,8;2;8;2,8;2;8
1051,0,8;2;8,8;2;8
1052,0,8,8
1053,0,8;4,8
1054,0,8;6;1,8;6
1055,0,8;6;0,8;6
1056,0,8,8
1057,0,8,8
1058,0,8;2,8
1059,0,8,8
1060,0,8;6,8
1061,0,8;2,8
1062,0,8;9,8;9
1063,0,8,8
1064,0,8;6,8;6
1065,0,8;6;9,8;6;9
1066,0,8;6,8;6
1067,0,8;6;8,8;6
1068,0,8;7,8
1069,0,8;5,8;5
1070,0,8;0;1,8;0;1
1071,0,8;0,8;0
1072,0,8;4;0,8;4
1073,0,8;4;4;7,8;4;4
1074,0,8;4,8;4
1075,0,8;4,8;4
1076,0,8;4;1,8;4
1077,0,8;4,8;4
1078,0,8;4;9,8;4
1079,0,8;4;7;4,8;4;7
1080,0,8;5,8
1081,0,8;5;4;2,8;5;4
1082,0,8;9;2,8;9
1083,0,8;9;7;0;6,8;9;7;0;6
1084,0,8;5;9,8;5
1085,0,8;5;6;6,8;5;6
1086,0,8,8
1087,0,8;5,8
1088,0,,
1089,0,6;0,6
1090,0,4,4
1091,0,,
1092,0,5;6;9,5;6
1093,0,8,
1094,0,3,
1095,0,6,
1096,0,7,7
1097,0,7;9,7;9
1098,0,7;9;2,7;9
1099,0,7,7
1100,0,0;5;9;4,0;5;9
1101,0,0;7,0
1102,0,4,
1103,0,,
1104,0,8,8
1105,0,8;3,8;3
1106,0,8;0;1,8;0
1107,0,8;0;8,8;0
1108,0,4,
1109,0,1;6,1
1110,0,7,7
1111,0,7,7
1112,0,,
1113,0,,
1114,0,0;3,0
1115,0,,
1116,0,5;1,5;1
1117,0,5;1;9,5;1
1118,0,5;1,5;1
1119,0,5;1;0,5;1;0
1120,0,5,
1121,0,,
1122,0,7;9;5;6,7;9;5
1123,0,4;9,4
1124,0,3;7,3
1125,0,3,3
1126,0,,
1127,0,,
1128,0,9;1,9
1129,0,9,9
1130,0,9,9
1131,0,9;0,9
1132,0,9;8;0;6,9;8;0;6
1133,0,9;8;0;6;8;5,9;8;0;6;8
1134,0,9;8,9;8
1135,0,9;8;7,9;8
1136,0,7;0;2;6;3,7;0;2;6
1137,0,7;0;8;5,7;0;8;5
