leaf,tape,target,non-target
128,0,6;6,6;6
129,0,6;3;7,6;3
130,0,6;5,6
131,0,6;8,6
132,0,6;5,6;5
133,0,6;5;0,6;5
134,0,6;5;0;4;7,6;5;0;4
135,0,6;5;0,6;5;0
136,0,3;3,3
137,0,3;6,3
138,0,3;5,3;5
139,0,3;0,3
140,0,,
141,0,,
142,0,8,8
143,0,8;4,8
144,0,1;0;5,1;0;5
145,0,1;0,1;0
146,0,1,1
147,0,1,1
148,0,1,1
149,0,1,1
150,0,1,1
151,0,1;7,1;7
152,0,1;6;4,1;6;4
153,0,1;6;4;4,1;6;4
154,0,1;6;0,1;6;0
155,0,1;6;0,1;6;0
156,0,1;4;6,1;4;6
157,0,1;4;6;9,1;4;6
158,0,1;4;9;2;3,1;4;9;2;3
159,0,1;4;9;2;3;3,1;4;9;2;3;3
160,0,6;7;9;5;5,6;7;9;5;5
161,0,6;7;9;5;5,6;7;9;5;5
162,0,6;7;9;5,6;7;9;5
163,0,6;7;9;5;4,6;7;9;5;4
164,0,6;7;9;6,6;7;9;6
165,0,6;7;9;6,6;7;9;6
166,0,6;7;9,6;7;9
167,0,6;7;9;6;9,6;7;9;6
168,0,1;5,1
169,0,1;1,1
170,0,1,1
171,0,1;9;7,1;9;7
172,0,8;9,8
173,0,1,1
174,0,,
175,0,8,
176,0,1;0,1;0
177,0,1;1,1;1
178,0,1;1,1;1
179,0,1;6,1
180,0,1;8,1;8
181,0,1;3,1
182,0,1;1,1;1
183,0,1;1;0;4,1;1;0
184,0,1;3;2;7;5,1;3;2;7
185,0,1;3;2;6,1;3;2
186,0,1;3;2;7,1;3;2;7
187,0,1;3;2,1;3;2
188,0,1;3;2,1;3
189,0,1;3;3,1;3
190,0,1;3;8,1;3
191,0,1;3;0,1;3
192,0,3;7;7,3;7
193,0,3;7;7,3;7;7
194,0,3;8,3;8
195,0,3;7,3
196,0,3,3
197,0,3;4;3;0,3;4;3
198,0,3,3
199,0,3;0,3;0
200,0,3,3
201,0,3,3
202,0,7,
203,0,,
204,0,7;4;1,7;4
205,0,7;8,7
206,0,,
207,0,1,
208,0,7,
209,0,0,
210,0,8,
211,0,8;3,8
212,0,6;9;6;0,6;9;6
213,0,6;9,6;9
214,0,6;9;1,6;9
215,0,6;9,6;9
216,0,4;7;4,4;7
217,0,4;7;5,4;7
218,0,7,
219,0,0,0
220,0,,
221,0,3;5,3
222,0,7,7
223,0,,
224,0,7;5,7
225,0,7,7
226,0,7;3,7
227,0,7;2,7;2
228,0,7;1,7
229,0,7;1,7;1
230,0,7;1;4,7;1
231,0,7;0,7;0
232,0,7;4,7;4
233,0,7;4,7
234,0,7;9,7;9
235,0,7;5,7
236,0,7;1,7
237,0,7,7
238,0,7;4,7
239,0,7;5,7
240,0,7;4,7
241,0,3,
242,0,0,
243,0,1;4,1
244,0,,
245,0,7,
246,0,4;1,4
247,0,,
248,0,5;4,5;4
249,0,5,
250,0,,
251,0,4;7,4
252,0,1;9;8,1;9
253,0,1,1
254,0,1,1
255,0,,
