leaf,tape,target,non-target
1035,0,8;1,8;1
1041,0,8;4,8;4
1060,0,8;0;6;1;4;8,8;0;6;1;4
1073,0,8;0;2,8;0
1077,0,8;6;8,8;6;8
1078,0,8;6,8;6
1079,0,8;6,8;6
1084,0,8;4;7;0,8;4;7;0
1085,0,8;4;7,8;4;7
1093,0,8;9;0,8;9
1101,0,8;9;2;7,8;9;2
1102,0,8;9;2;8,8;9;2;8
1110,0,8;9;3;7;8;2;1,8;9;3;7;8;2
1112,0,8;9;4;9;1,8;9;4;9
1115,0,8;9;4;0;9,8;9;4;0
1119,0,8;9;4,8;9;4
1137,0,8;4,8;4
1162,0,8;7;8;8;7;5;4,8;7;8;8;7;5
1163,0,8;7;8;8;7;5;8,8;7;8;8;7;5
1164,0,8;7;8;8;3;9;4,8;7;8;8;3;9
1165,0,8;7;8;8;3;9,8;7;8;8;3;9
1169,0,8;7;8;4;4;6;4;6,8;7;8;4;4;6;4
1178,0,8;7;8;4;0,8;7;8;4
1180,0,8;7;8;4,8;7;8;4
1186,0,8;0,8;0
1189,0,8;0,8;0
1191,0,8;0,8;0
1212,0,8,8
1219,0,8;5;7;7;1,8;5;7;7
1224,0,8;5;7,8;5;7
1238,0,8;5;1;9;8,8;5;1;9
1242,0,8;5,8;5
1251,0,8;5;8;3;3;4;9;7,8;5;8;3;3;4;9;7
1263,0,8;5;8;3;0;0;1,8;5;8;3;0;0;1
1266,0,8;5;8;9;9,8;5;8;9
1268,0,8;5;8,8;5;8
1271,0,8;5;8;9,8;5;8;9
1279,0,8;5;8;2;4;6;9,8;5;8;2;4;6
1303,0,0;3,0
1308,0,3,3
1310,0,9,
1312,0,5;0;2,5;0
1317,0,5;5,5;5
1318,0,5;5,5;5
1324,0,5,5
1350,0,3;4;1;4,3;4;1
1365,0,3;3;8,3;3;8
1368,0,3;3;2,3;3;2
1382,0,3;1;8;1,3;1;8;1
1394,0,3;1;0,3;1
1402,0,3;1;9;4,3;1;9
1414,0,3;9,3
1415,0,3;1;5,3;1
1418,0,3;9;9,3;9;9
1430,0,3;2,3;2
1439,0,3;6,3
1443,0,8,8
1463,0,2;0,2
1470,0,3,3
1500,0,3;5;7,3;5
1508,0,3;6;7,3;6
1513,0,3;0,3;0
1526,0,3;6;5;5,3;6;5
1547,0,5;6;3;4;9,5;6;3;4;9
1555,0,5;6;3,5;6;3
1559,0,5;6;3,5;6;3
1576,0,5;6,5;6
1584,0,5;6;7;0;9,5;6;7;0;9
1590,0,5;6;7;0;3;3,5;6;7;0;3
1591,0,5;6;7;0;7,5;6;7;0
1594,0,5;6;7;7;9,5;6;7;7
1598,0,5;6;7;5;4;3,5;6;7;5;4
1603,0,5;6;4;5;2,5;6;4;5
1605,0,5;6;4;5;2,5;6;4;5;2
1625,0,5;6;4;2,5;6;4;2
1627,0,5;6;4;2;7;7,5;6;4;2;7
1635,0,5;6;6,5;6;6
1638,0,5;6;6;2;2;8,5;6;6;2;2
1641,0,5;6;6;2,5;6;6
1648,0,5;6;6;3,5;6;6
1651,0,5;6;6;3,5;6;6;3
1657,0,5;6;6;2;7,5;6;6;2
1662,0,5;6;6;3;5,5;6;6;3;5
1696,0,5;8;0;3;8,5;8;0;3;8
1715,0,5;8;7,5;8;7
1739,0,5;2,5;2
1760,0,5;2;4;5,5;2;4
1772,0,5;2;7,5;2;7
1781,0,5;6,5;6
1823,0,3;5,3;5
1831,0,5;5,5;5
1859,0,2;6,2;6
1881,0,2;3;0,2;3
1891,0,2;4;1,2;4
1902,0,2;4;6;7,2;4;6
1917,0,2;4;0;1;6;8,2;4;0;1;6;8
1924,0,4;9;0;9;3,4;9;0;9;3
1926,0,4;9,4;9
1927,0,4;9;2,4;9
1945,0,4;8;6;6;8,4;8;6;6;8
1950,0,4;6,4;6
1955,0,2;9;3,2;9
1983,0,1,
1995,0,7;4,7
2005,0,2;1,2
2021,0,3;7,3;7
2043,0,4,4
