leaf,tape,target,non-target
1024,0,8;7,8;7
1025,0,8;3,8
1026,0,8;5,8;5
1027,0,8;5,8;5
1028,0,8;2,8
1029,0,8,8
1030,0,8,8
1031,0,8;3,8;3
1032,0,8,8
1033,0,8,8
1034,0,8;7,8
1035,0,8;1,8;1
1036,0,8;8;9,8;8
1037,0,8;8;9,8;8
1038,0,8;8,8;8
1039,0,8;8;3,8;8
1040,0,8;3,8
1041,0,8;4,8;4
1042,0,8;7,8;7
1043,0,8;7;9,8;7
1044,0,8;5;1,8;5
1045,0,8;5,8;5
1046,0,8;5;7;9,8;5;7
1047,0,8;5,8;5
1048,0,8,8
1049,0,8,8
1050,0,8;4;4,8;4
1051,0,8;4;2,8;4;2
1052,0,8;5;4,8;5
1053,0,8;4,8
1054,0,8;4,8
1055,0,8,8
1056,0,8;7;7,8;7
1057,0,8;7,8;7
1058,0,8;7;9;2,8;7;9
1059,0,8;7;0,8;7;0
1060,0,8;0;6;1;4;8,8;0;6;1;4
1061,0,8;0;6;1;4;2,8;0;6;1;4;2
1062,0,8;7;7,8;7
1063,0,8;7;1,8;7;1
1064,0,8;6,8;6
1065,0,8;6,8;6
1066,0,8,8
1067,0,8,8
1068,0,8;9,8;9
1069,0,8;9;2,8;9
1070,0,8;9;4,8;9
1071,0,8;9;9;6,8;9;9
1072,0,8;4;0,8;4;0
1073,0,8;0;2,8;0
1074,0,8;1;0,8;1
1075,0,8,8
1076,0,8;6;8,8;6;8
1077,0,8;6;8,8;6;8
1078,0,8;6,8;6
1079,0,8;6,8;6
1080,0,8;4,8;4
1081,0,8;4,8;4
1082,0,8;4;6;1,8;4;6
1083,0,8;4,8;4
1084,0,8;4;7;0,8;4;7;0
1085,0,8;4;7,8;4;7
1086,0,8;4,8;4
1087,0,8;4;3,8;4;3
1088,0,8;9;2,8;9;2
1089,0,8;9;2;7,8;9;2
1090,0,8;9;2;1,8;9;2;1
1091,0,8;9;2;1,8;9;2;1
1092,0,8;9;6,8;9
1093,0,8;9;0,8;9
1094,0,8;9;7,8;9;7
1095,0,8;9;7;2,8;9;7;2
1096,0,8;9;2,8;9;2
1097,0,8;9;2;5;1;0,8;9;2;5;1;0
1098,0,8;9;2,8;9;2
1099,0,8;9;2;6;5,8;9;2;6
1100,0,8;9;2,8;9;2
1101,0,8;9;2;7,8;9;2
1102,0,8;9;2;8,8;9;2;8
1103,0,8;9;2;7,8;9;2
1104,0,8;9;3;2;3;6;8,8;9;3;2;3;6
1105,0,8;9;3;2;3;5,8;9;3;2;3
1106,0,8;9;3,8;9;3
1107,0,8;9;3;7;3,8;9;3;7
1108,0,8;9;3;7;0;6,8;9;3;7;0;6
1109,0,8;9;3;7;0,8;9;3;7;0
1110,0,8;9;3;7;8;2;1,8;9;3;7;8;2
1111,0,8;9;3;7;8;2;8,8;9;3;7;8;2
1112,0,8;9;4;9;1,8;9;4;9
1113,0,8;9;4;1,8;9;4
1114,0,8;9;4;2,8;9;4
1115,0,8;9;4;0;9,8;9;4;0
1116,0,8;9;5;2,8;9;5;2
1117,0,8;9;5;7,8;9;5
1118,0,8;9;1;9,8;9;1;9
1119,0,8;9;4,8;9;4
1120,0,8;6,8;6
1121,0,8;6,8;6
1122,0,8;6;0,8;6;0
1123,0,8;6;0;2;7;2,8;6;0;2;7
1124,0,8;0,8
1125,0,8,8
1126,0,8;6;7;7,8;6;7
1127,0,8;6;4,8;6;4
1128,0,8,8
1129,0,8,8
1130,0,8;5,8;5
1131,0,8;5;0,8;5;0
1132,0,8;0,8;0
1133,0,8;0;9,8;0;9
1134,0,8;7,8;7
1135,0,8,8
1136,0,8;4,8;4
1137,0,8;4,8;4
1138,0,8,8
1139,0,8;6,8;6
1140,0,8;9;6,8;9;6
1141,0,8;9,8;9
1142,0,8;2,8
1143,0,8;8;3,8;8
1144,0,8;5;9;5,8;5;9
1145,0,8;5,8;5
1146,0,8;5;2;3,8;5;2;3
1147,0,8;5;2;7,8;5;2
1148,0,8;2;1,8;2;1
1149,0,8;2;0,8;2
1150,0,8,8
1151,0,8,8
1152,0,8;7;8;3;4;6;0,8;7;8;3;4;6;0
1153,0,8;7;8;3;4;6;0,8;7;8;3;4;6;0
1154,0,8;7;8;3;4;7,8;7;8;3;4
1155,0,8;7;8;3;4;2,8;7;8;3;4
1156,0,8;7;8;3;0,8;7;8;3
1157,0,8;7;8;3;0,8;7;8;3
1158,0,8;7;8;3;2;1,8;7;8;3;2
1159,0,8;7;8;3,8;7;8;3
1160,0,8;7;8;8;7;8;0;7,8;7;8;8;7;8;0
1161,0,8;7;8;8;7;8;0;9,8;7;8;8;7;8;0
