parent,child,weight
0,1,0.006273200187525627
1,2,0.26219954783845395
1,3,0.24524766108094534
2,4,1.4736776005411212
2,5,2.474978256065865
3,6,2.0827773292705456
3,7,0.5722076359300279
4,8,0.5124689991241898
4,9,1.3391440418384624
5,10,0.02517947369036568
5,11,1.8727314045037364
6,12,0.0027680564947355794
6,13,0.6765432956840421
7,14,6.233861492551061
7,15,0.00017157470640860055
8,16,0.9279540818685215
8,17,0.04328628499959786
9,18,2.3009091858855553
9,19,0.42518043377819204
10,20,0.567745237375347
10,21,0.15632799049993013
11,22,0.4855854965772336
11,23,2.3542745784306796
12,24,0.018281893556931213
12,25,0.33009061825602287
13,26,2.9954869944325866
13,27,0.35621046343303836
14,28,0.5815391794131404
14,29,1.8195332001407234
15,30,0.0428433466936675
15,31,0.21083214777084466
16,32,0.09085683675919352
16,33,1.5428851789059932
17,34,0.9842563941442937
17,35,0.7149409304378583
18,36,0.7876825864582756
18,37,0.9304855601766867
19,38,0.08181295998520521
19,39,2.493174051085865
20,40,1.7643665526929964
20,41,1.19339891116851
21,42,4.789658675288785
21,43,0.6000771888958183
22,44,0.7688887249356051
22,45,0.004734756679221971
23,46,0.10404854812198745
23,47,1.2604306854667644
24,48,3.511155326073492
24,49,2.424271650757101
25,50,1.6136755633045952
25,51,0.3500809531717869
26,52,1.2579897589626792
26,53,4.23153671439574
27,54,0.19956950546685906
27,55,0.18128382073429544
28,56,0.05393167507626289
28,57,0.012793054296225653
29,58,0.9356762979046175
29,59,0.10593174485212907
30,60,0.25546890988611703
30,61,6.88137182097335
31,62,1.0701034928571658
31,63,0.291141353718636
32,64,1.5233092274095352
32,65,0.22355275352080795
33,66,0.7171111671343755
33,67,1.014799378753357
34,68,0.33553806683257326
34,69,0.012553480672174816
35,70,1.2314144545646843
35,71,0.4687457071846065
36,72,1.1404180755364475
36,73,0.1289728310371836
37,74,0.16048989695586502
37,75,3.7246229937048554
38,76,0.00006425335054276235
38,77,0.057282495367634655
39,78,2.5824680443935475
39,79,0.012280241842760045
40,80,1.7210117780209766
40,81,0.6543488600710002
41,82,1.6246538103665793
41,83,4.1453567803111175
42,84,0.7228567256386459
42,85,3.204277187252394
43,86,6.74455260391982
43,87,0.1008079255938365
44,88,0.3096122393902051
44,89,0.6508101014628869
45,90,2.917936616471257
45,91,0.13360394755158359
46,92,0.28960790854465174
46,93,0.09113522141642776
47,94,0.08233932840471513
47,95,0.2579890348412689
48,96,0.3169206642448305
48,97,1.110046672429298
49,98,1.1984780793492242
49,99,0.0037269898749699264
50,100,0.2455436487637152
50,101,4.591786236730783
51,102,0.07339809529688378
51,103,1.4850587390253396
52,104,0.10250325164544745
52,105,1.0060342047127386
53,106,7.330438501085983
53,107,1.6682399269579924
54,108,0.1555435203263783
54,109,2.9046631906060303
55,110,0.7431933025912753
55,111,3.0913187717417014
56,112,1.3321414242396277
56,113,1.3782405869574825
57,114,1.5337280774316593
57,115,0.5394501815786564
58,116,1.7352079307139496
58,117,4.191648600440663
59,118,0.08170506279187988
59,119,6.837266088093267
60,120,3.4526801654332746
60,121,0.3094582075134664
61,122,3.302077505495768
61,123,4.888416311531202
62,124,2.4237349593282573
62,125,2.2747012505281337
63,126,0.10603224189979302
63,127,0.0021148341151516676
64,128,1.2937582071855882
64,129,0.22982678023322634
65,130,0.745520605064059
65,131,0.4104666834659951
66,132,2.209538135218646
66,133,1.8613433310222556
67,134,3.6039348403212497
67,135,0.4319148236584887
68,136,0.3006095805571052
68,137,2.078909667806417
69,138,2.155548469864416
69,139,0.8476224518299267
70,140,0.384818115029249
70,141,2.188863981914791
71,142,0.000540073068533568
71,143,0.16270809999077182
72,144,0.6608562892823852
72,145,0.3230367444633827
73,146,0.41863921365971185
73,147,1.3461791750323997
74,148,1.5240210505045426
