leaf,tape,target,non-target
150,0,8;4;6;7;4;2,8;4;6;7;4
202,0,5;4;2;3;1;9;5;1,5;4;2;3;1;9;5
204,0,5;4;2;3;1;2;5;0,5;4;2;3;1;2;5
262,0,8;4;6;7;4;9;0;3,8;4;6;7;4;9;0;3
270,0,8;4;6;7;4;5;9,8;4;6;7;4;5
318,0,8;0;8;9;0;3;5;0,8;0;8;9;0;3;5
339,0,5;8;2;1;0;3;9;0,5;8;2;1;0;3;9
347,0,5;8;9;8,5;8;9
390,0,1;7;5;0;4,1;7;5;0
403,0,8;4;6;7;7;6;9;7,8;4;6;7;7;6;9;7
425,0,8;4;6;7;3;2;0;0,8;4;6;7;3;2;0
427,0,8;4;6;7;3;2;3;9,8;4;6;7;3;2;3;9
431,0,8;4;6;2;1;5;1,8;4;6;2;1;5
443,0,8;4;6;0;6,8;4;6;0
479,0,8;0;0;2;7;9;6;8,8;0;0;2;7;9;6;8
517,0,5;8;0;0;7;6;4;2,5;8;0;0;7;6;4
518,0,5;8;0;0;7;6;0;1,5;8;0;0;7;6;0
519,0,5;8;0;0;7;6;2,5;8;0;0;7;6
535,0,5;8;7;1,5;8;7
538,0,5;8;9;9;2;1,5;8;9;9;2
545,0,5;4;6;1;5;3;2,5;4;6;1;5;3
550,0,5;4;6;1;8;7;1,5;4;6;1;8;7
564,0,1;0;9;9;7;9;8;9,1;0;9;9;7;9;8;9
573,0,1;0;9;9;7;4,1;0;9;9;7
590,0,1;7;0;4;7;9;4,1;7;0;4;7;9
594,0,8;4;6;7;0;9;7;2,8;4;6;7;0;9;7;2
595,0,8;4;6;7;0;9;7;2,8;4;6;7;0;9;7;2
597,0,8;4;6;7;0;9;7;2,8;4;6;7;0;9;7;2
599,0,8;4;6;7;0;9;7;2,8;4;6;7;0;9;7;2
605,0,8;4;6;7;7;6;9;2,8;4;6;7;7;6;9;2
606,0,8;4;6;7;7;5;2;2,8;4;6;7;7;5;2
632,0,8;4;6;2;2;8;4;3,8;4;6;2;2;8;4;3
633,0,8;4;6;2;2;8;4;4,8;4;6;2;2;8;4
635,0,8;4;6;2;2;0;8;2,8;4;6;2;2;0;8
648,0,8;0;7;7;7;0;8;2,8;0;7;7;7;0;8;2
658,0,8;0;7;7;7;7;8;8,8;0;7;7;7;7;8;8
676,0,8;0;7;8;6;7,8;0;7;8;6
686,0,8;0;0;3;5;8;0;4,8;0;0;3;5;8;0
688,0,8;0;0;3;3;5,8;0;0;3;3
690,0,8;0;0;7;5;3,8;0;0;7;5
703,0,8;0;2;8;7;1,8;0;2;8;7
739,0,5;4;6;1;2;6;1,5;4;6;1;2;6
746,0,5;4;1;9;6;9;4;2,5;4;1;9;6;9;4
751,0,1;0;8;9;7;7;5;8,1;0;8;9;7;7;5;8
752,0,1;0;9;9;1;6;0;2,1;0;9;9;1;6;0
758,0,1;4;6;8;3;3;7,1;4;6;8;3;3
763,0,1;4;6;8;8,1;4;6;8
773,0,1;4;1;0;7;8,1;4;1;0;7
786,0,8;4;6;7;4;4;8;1,8;4;6;7;4;4;8;1
813,0,8;4;6;0;0;3,8;4;6;0;0
816,0,8;4;6;0;0;9,8;4;6;0;0
817,0,8;4;6;0;2,8;4;6;0
819,0,8;4;6;2;6;3;3,8;4;6;2;6;3;3
832,0,8;0;7;7;7;0;9;7,8;0;7;7;7;0;9;7
875,0,8;0;0;1;4,8;0;0;1
884,0,8;0;9;9;9,8;0;9;9
917,0,1;4;6;5;6;9;3;4,1;4;6;5;6;9;3;4
922,0,1;4;8;7;3,1;4;8;7;3
926,0,8;4;6;7;4;4;8;9,8;4;6;7;4;4;8;9
959,0,8;0;7;7;7;0;9;1,8;0;7;7;7;0;9;1
960,0,8;0;7;7;7;0;9;2,8;0;7;7;7;0;9;2
972,0,8;0;0;2;1;9;2;8,8;0;0;2;1;9;2;8
973,0,8;0;0;2;1;9;2;0,8;0;0;2;1;9;2
980,0,8;0;0;2;9;6;8;2,8;0;0;2;9;6;8
996,0,5;8;0;0;6;8;9;7,5;8;0;0;6;8;9;7
1000,0,5;8;2;2;5;9;9;2,5;8;2;2;5;9;9;2
1006,0,1;0;8;9;7;7;5;8,1;0;8;9;7;7;5;8
1011,0,1;4;6;5;6;9;1,1;4;6;5;6;9
1016,0,8;4;6;7;4;4;8;1,8;4;6;7;4;4;8;1
1024,0,8;4;6;7;4;4;4;6,8;4;6;7;4;4;4;6
1030,0,8;0;7;7;7;0;8;9,8;0;7;7;7;0;8;9
1036,0,8;0;7;7;7;7;8;5,8;0;7;7;7;7;8;5
1059,0,8;4;6;7;4;4;4;3,8;4;6;7;4;4;4;3
1069,0,8;0;7;7;7;7;8;5,8;0;7;7;7;7;8;5
1075,0,8;0;7;7;7;0;8;9,8;0;7;7;7;0;8;9
