leaf,tape,target,non-target
1188,0,9;0;9;4;3;7;8;3,9;0;9;4;3;7;8;3
1189,0,9;0;9;4;3;7;8;3,9;0;9;4;3;7;8;3
1190,0,9;0;9;4;3;7;8,9;0;9;4;3;7;8
1191,0,9;0;9;4;3;7;8,9;0;9;4;3;7;8
1192,0,9;0;9;4;3;7;8;0,9;0;9;4;3;7;8;0
1193,0,9;0;9;4;3;7;8;0,9;0;9;4;3;7;8;0
1194,0,9;0;9;4;3;7;8;0,9;0;9;4;3;7;8;0
1195,0,9;0;9;4;3;7;8;0,9;0;9;4;3;7;8;0
1196,0,9;0;9;4;3;7;8;1,9;0;9;4;3;7;8;1
1197,0,9;0;9;4;3;7;8;1,9;0;9;4;3;7;8;1
1198,0,9;0;9;4;3;7;8;6,9;0;9;4;3;7;8;6
1199,0,9;0;9;4;3;7;8;6,9;0;9;4;3;7;8;6
1200,0,9;0;9;4;3;7;8;3,9;0;9;4;3;7;8;3
1201,0,9;0;9;4;3;7;8;3,9;0;9;4;3;7;8;3
1202,0,9;0;9;4;3;7;8;3,9;0;9;4;3;7;8;3
1203,0,9;0;9;4;3;7;8;3,9;0;9;4;3;7;8;3
1204,0,9;0;9;4;3;7;8;7,9;0;9;4;3;7;8;7
1205,0,9;0;9;4;3;7;8;7,9;0;9;4;3;7;8;7
1206,0,9;0;9;4;3;7;8,9;0;9;4;3;7;8
1207,0,9;0;9;4;3;7;8,9;0;9;4;3;7;8
1208,0,9;0;9;4;3;7;8;3,9;0;9;4;3;7;8;3
1209,0,9;0;9;4;3;7;8;3,9;0;9;4;3;7;8;3
1210,0,9;0;9;4;3;7;8;3,9;0;9;4;3;7;8;3
1211,0,9;0;9;4;3;7;8;3,9;0;9;4;3;7;8;3
1212,0,9;0;9;4;3;7;8;3,9;0;9;4;3;7;8;3
1213,0,9;0;9;4;3;7;8;3,9;0;9;4;3;7;8;3
1214,0,9;0;9;4;3;7;8;3,9;0;9;4;3;7;8;3
1215,0,9;0;9;4;3;7;8;3,9;0;9;4;3;7;8;3
1216,0,9;0;8;0;2;0,9;0;8;0;2
1217,0,9;0;8;0;2;9;2;0,9;0;8;0;2;9;2
1218,0,9;0;8;0;2;8,9;0;8;0;2;8
1219,0,9;0;8;0;2;8;5,9;0;8;0;2;8
1220,0,9;0;8;0;2;0;9,9;0;8;0;2;0
1221,0,9;0;8;0;2;0,9;0;8;0;2
1222,0,9;0;8;0;2;7;0;1,9;0;8;0;2;7;0
1223,0,9;0;8;0;2;7;8,9;0;8;0;2;7;8
1224,0,9;0;8;0;0,9;0;8;0;0
1225,0,9;0;8;0;0;3,9;0;8;0;0
1226,0,9;0;8;0;0;8,9;0;8;0;0
1227,0,9;0;8;0;0;2;0,9;0;8;0;0;2
1228,0,9;0;8;0;0;5;7;9,9;0;8;0;0;5;7
1229,0,9;0;8;0;0;5,9;0;8;0;0;5
1230,0,9;0;8;0;0;5;4;6,9;0;8;0;0;5;4;6
1231,0,9;0;8;0;0;5;4;6,9;0;8;0;0;5;4;6
1232,0,9;0;8;6;2;3,9;0;8;6;2
1233,0,9;0;8;6;2,9;0;8;6
1234,0,9;0;8;6;7;2,9;0;8;6;7;2
1235,0,9;0;8;6,9;0;8;6
1236,0,9;0;8;6,9;0;8;6
1237,0,9;0;8;6;8,9;0;8;6
1238,0,9;0;8;6;2,9;0;8;6
1239,0,9;0;8;6,9;0;8;6
1240,0,9;0;8;6;3,9;0;8;6;3
1241,0,9;0;8;6;3,9;0;8;6;3
1242,0,9;0;8;6;3;7;1,9;0;8;6;3;7
1243,0,9;0;8;6;3;7;1,9;0;8;6;3;7
1244,0,9;0;8;6,9;0;8;6
1245,0,9;0;8;6;3,9;0;8;6;3
1246,0,9;0;8;6;6;9,9;0;8;6;6
1247,0,9;0;8;6;6,9;0;8;6;6
1248,0,9;0;3;5;6;6,9;0;3;5;6;6
1249,0,9;0;3;5;6;6;8,9;0;3;5;6;6
1250,0,9;0;3;5;6,9;0;3;5;6
1251,0,9;0;3;5;6,9;0;3;5;6
1252,0,9;0;3;5;2;9,9;0;3;5;2;9
1253,0,9;0;3;5;2,9;0;3;5;2
1254,0,9;0;3;5;2;7;5;0,9;0;3;5;2;7;5
