parent,child,weight
0,1,0.380108103419567
1,2,0.7736164884519566
1,3,0.2402960206777602
2,4,0.4571014292283223
2,5,0.9580412707690154
3,6,0.35518124025828857
3,7,5.030070941641389
4,8,1.632367885675824
4,9,0.04784580698740192
5,10,0.3557140283611428
5,11,0.15029234154459156
6,12,1.469144674352662
6,13,0.004541249017501418
7,14,0.9469283021990598
7,15,0.05067820959661684
8,16,0.08519270492407333
8,17,5.242217744731222
9,18,0.19639819052901406
9,19,0.2324996964814597
10,20,0.07884945207010001
10,21,0.8003480087788608
11,22,0.2401219300736577
11,23,0.7264333684020882
12,24,2.300583603846397
12,25,0.7794386186915653
13,26,0.13584366016249944
13,27,0.2147063510238809
14,28,0.02339747021643674
14,29,0.31697046249555505
15,30,0.5690584874970419
15,31,3.767271463960413
16,32,0.9720556419449757
16,33,0.15490809095107932
17,34,0.12269439738328956
17,35,1.524321279419164
18,36,2.3751718108238826
18,37,0.7686648260206321
19,38,0.6587947228383241
19,39,0.6382966901768863
20,40,1.6257089515386947
20,41,0.5429968708959964
21,42,5.821935443260752
21,43,0.7805480226678766
22,44,1.489366541369008
22,45,0.026973447328475883
23,46,0.11044557823417006
23,47,0.07367328713818569
24,48,0.11750892824061414
24,49,0.21877196646627614
25,50,1.59830971454551
25,51,1.8942052016526774
26,52,1.6934624749815457
26,53,3.8163473190277237
27,54,0.0725926540631022
27,55,0.7653505427113094
28,56,1.1256713807909007
28,57,0.36465154595043986
29,58,0.002682569005236315
29,59,0.17463394691345818
30,60,1.141039164023769
30,61,1.410746093513694
31,62,0.3069902840473888
31,63,0.11070989281026042
32,64,0.06777764271622856
32,65,0.05304117145555816
33,66,1.5474550816306867
33,67,0.000021291900974832925
34,68,0.04142070024294799
34,69,0.3656263435437817
35,70,1.139877272792753
35,71,1.0625892082329533
36,72,0.6788935880390617
36,73,0.24724132903431176
37,74,0.601749096647569
37,75,1.267244869351288
38,76,0.9885560344649544
38,77,2.459721750707361
39,78,0.4863336114052624
39,79,0.9754878002583512
40,80,0.020999721291701565
40,81,1.4462459149173483
41,82,0.12126018256640035
41,83,1.006404198327471
42,84,2.8389491645686378
42,85,2.5352779222294384
43,86,2.531690931296527
43,87,0.31029971521238536
44,88,0.5433027399688984
44,89,0.13408674947804364
45,90,0.16489454425291744
45,91,0.005324789391962772
46,92,4.528964372456244
46,93,2.6257756786367303
47,94,0.16511764937870957
47,95,1.2441609246391603
48,96,0.05242758231673394
48,97,0.369000216050158
49,98,5.2986354587204225
49,99,1.9438368171898954
50,100,0.01193048619097621
50,101,0.613504633734124
51,102,0.912883947046067
51,103,0.1671879872403815
52,104,1.2297020284613924
52,105,0.26986974218921306
53,106,1.2529414441889226
53,107,0.42561202380661967
54,108,3.22213572356849
54,109,1.9001040488693415
55,110,1.3766016891983526
55,111,0.9950943503507643
56,112,5.657583135900804
56,113,0.5690357705758213
57,114,0.05582482266707831
57,115,0.9683599545706987
58,116,2.225551172974215
58,117,1.4376404476277898
59,118,1.1997099864915919
59,119,0.30897577670446624
60,120,0.6484999330903417
60,121,0.015176601659438228
61,122,0.2650812414458643
61,123,0.5430434342264306
62,124,1.273134743186804
62,125,0.7550394451623917
63,126,0.04428771224047244
63,127,0.1636807182802329
64,128,0.010807628264258651
64,129,0.9301764365704231
65,130,0.45309260183120426
65,131,0.32870099745226894
66,132,0.5159514122838395
66,133,0.091412735469976
67,134,0.36182493355608025
67,135,0.13193273929573215
68,136,2.055306784109633
68,137,1.557129236793785
69,138,0.4338764909327399
69,139,0.2981234872897543
70,140,1.6540524065220101
70,141,1.3220919017745616
71,142,0.7041667334301761
71,143,0.3482895934356559
72,144,1.080290152488135
72,145,0.23937911133798334
73,146,1.7563632499553716
73,147,1.7036126563090819
74,148,4.366555301642959
74,149,0.06991254110645466
75,150,0.022454390514983637
75,151,0.3393265141892599
76,152,1.3375588507802654
76,153,0.9589813124261449
77,154,0.9340685472615365
77,155,0.7302360517786468
78,156,0.5565000784258548
78,157,0.08466386526260668
79,158,1.111202301314831
79,159,0.5961818215982903
80,160,1.4199229374900058
80,161,0.349806599158613
81,162,0.04585156835410997
81,163,0.2083934975235786
82,164,2.8005387201451812
82,165,0.11177706463647408
83,166,0.9647656537782155
83,167,0.5807590695414835
84,168,1.8435386210692273
84,169,3.028277899311783
85,170,1.6214587060552563
85,171,0.7277378405208983
86,172,0.544688626624674
86,173,1.9903787133874424
87,174,0.714427089920354
87,175,2.424258665927075
88,176,2.1075268239556264
88,177,1.53510227869509
89,178,0.40335726453235976
89,179,0.04414738173041523
90,180,3.14190114496265
90,181,0.0639954424569244
91,182,0.17538948333343274
91,183,1.8400908867105432
92,184,2.980168995563751
92,185,0.20530484473535096
93,186,2.8981021657198847
93,187,1.1969797998757732
94,188,1.5907813171678482
94,189,6.210325306989974
95,190,1.5113827178861763
95,191,0.3544229772664864
96,192,1.2032006339454666
96,193,0.06483452327492366
97,194,2.5935078769819304
97,195,0.016147739598326202
98,196,2.5411148352796302
98,197,0.07864098677671541
99,198,0.04724198450957104
99,199,0.21376612363264283
100,200,0.7530808174322253
100,201,1.3771226844971953
101,202,0.2207871024863461
101,203,0.15103319995032677
102,204,0.46220220361795217
102,205,0.0380872926128691
103,206,2.2419585860751963
103,207,0.4353705236125719
104,208,4.317502889886858
104,209,0.04465412864269369
105,210,1.4566140021406244
105,211,2.8425420417091
106,212,5.922993079079839
106,213,0.000007698474761175317
107,214,1.443440110224576
107,215,1.6097705757020282
108,216,0.792346352048284
108,217,0.740159942560792
109,218,12.359513787409597
109,219,1.2656885251134429
110,220,0.033657561615597874
110,221,5.2935342990973675
111,222,0.29780375862406583
111,223,6.299164223038897
112,224,0.021288654448763752
112,225,0.00004132484574172747
113,226,1.8356479812312019
113,227,0.3872170909108837
114,228,0.16459959537084087
114,229,0.004974904118922725
115,230,0.45927252492371107
115,231,0.06568154899823098
116,232,3.362338822242797
116,233,0.2918026789051196
117,234,0.20786087600695838
117,235,0.4178916935701666
118,236,0.8411669396047627
118,237,3.270659180882662
119,238,0.3034125851085558
119,239,0.16136959076936533
120,240,0.8438198913792163
120,241,0.06619733720876271
121,242,0.2440557162392694
121,243,0.2127622852813251
122,244,0.7288943380886006
122,245,0.2332790472019321
123,246,0.942528404162165
123,247,0.0030994753663006096
124,248,0.002349098490274792
124,249,0.29974336340576274
125,250,4.893216116984359
125,251,0.8870361978388789
126,252,1.1452566244829692
126,253,0.18722361565494067
127,254,0.48097920504535624
127,255,0.14243583636013946
128,256,0.9092587669155823
128,257,0.7862560446802276
129,258,1.4835160301713761
129,259,3.0266650703449836
130,260,1.042388040194933
130,261,0.8252093497805117
131,262,1.579092194517182
131,263,0.060103812770777185
132,264,3.409348455786211
132,265,0.09052182613691945
133,266,0.0019028304121083905
133,267,0.021528535540446425
