leaf,tape,target,non-target
1024,0,3;9;9;3,3;9;9
1025,0,3;9;9,3;9;9
1026,0,3;9;9,3;9;9
1027,0,3;9;9,3;9;9
1028,0,3;9;9;1,3;9;9;1
1029,0,3;9;9;1,3;9;9;1
1030,0,3;9;9,3;9;9
1031,0,3;9;9;7,3;9;9;7
1032,0,3;9;9;0;9;7,3;9;9;0;9
1033,0,3;9;9;6,3;9;9
1034,0,3;9;9;3,3;9;9;3
1035,0,3;9;9;2,3;9;9
1036,0,3;9;9;4;0;9,3;9;9;4;0
1037,0,3;9;9;4;0;3;7,3;9;9;4;0;3
1038,0,3;9;9;4;0;2,3;9;9;4;0
1039,0,3;9;9;4;0;1,3;9;9;4;0
1040,0,3;9;9;9;3;5,3;9;9;9;3;5
1041,0,3;9;9;9;3;4,3;9;9;9;3
1042,0,3;9;9;9,3;9;9;9
1043,0,3;9;9;9,3;9;9;9
1044,0,3;9;9;9;6;6,3;9;9;9;6
1045,0,3;9;9;9;6;7;6,3;9;9;9;6;7
1046,0,3;9;9;9;6;8,3;9;9;9;6
1047,0,3;9;9;9;6;2;4;7,3;9;9;9;6;2;4
1048,0,3;9;9;9;9,3;9;9;9
1049,0,3;9;9;9,3;9;9;9
1050,0,3;9;9;9;4,3;9;9;9;4
1051,0,3;9;9;9;4,3;9;9;9;4
1052,0,3;9;9;9,3;9;9;9
1053,0,3;9;9;9;8,3;9;9;9
1054,0,3;9;9;9,3;9;9;9
1055,0,3;9;9;9;2,3;9;9;9;2
1056,0,3;9;9,3;9;9
1057,0,3;9;9;6;0;7,3;9;9;6;0
1058,0,3;9;9;0,3;9;9;0
1059,0,3;9;9;0;9,3;9;9;0
1060,0,3;9;9,3;9;9
1061,0,3;9;9,3;9;9
1062,0,3;9;9;8,3;9;9
1063,0,3;9;9;1,3;9;9
1064,0,3;9;9;7;3,3;9;9;7
1065,0,3;9;9;7;9;7;0,3;9;9;7;9;7
1066,0,3;9;9;7;1,3;9;9;7
1067,0,3;9;9;7;1;3,3;9;9;7;1
1068,0,3;9;9;7,3;9;9;7
1069,0,3;9;9;7,3;9;9;7
1070,0,3;9;9;7,3;9;9;7
1071,0,3;9;9;7,3;9;9;7
1072,0,3;9;9;7;8,3;9;9;7
1073,0,3;9;9;7,3;9;9;7
1074,0,3;9;9;7;5;4,3;9;9;7;5
1075,0,3;9;9;7;5,3;9;9;7;5
1076,0,3;9;9;1,3;9;9;1
1077,0,3;9;9;9,3;9;9;9
1078,0,3;9;9,3;9;9
1079,0,3;9;9;9;0,3;9;9;9
1080,0,3;9;9;6;9,3;9;9;6
1081,0,3;9;9,3;9;9
1082,0,3;9;9;7,3;9;9
1083,0,3;9;9;4,3;9;9;4
1084,0,3;9;9,3;9;9
1085,0,3;9;9;7;2,3;9;9;7
1086,0,3;9;9;0,3;9;9
1087,0,3;9;9;8;1,3;9;9;8;1
1088,0,3;9;4;6;9,3;9;4;6
1089,0,3;9;4;6;6;7,3;9;4;6;6
1090,0,3;9;4;6;9;2,3;9;4;6;9
1091,0,3;9;4;6;0,3;9;4;6
1092,0,3;9;4;0;9,3;9;4;0
1093,0,3;9;4;0,3;9;4;0
1094,0,3;9;4;3,3;9;4;3
1095,0,3;9;4;0,3;9;4
1096,0,3;9;4,3;9;4
1097,0,3;9;4,3;9;4
1098,0,3;9;4;0;2,3;9;4;0;2
1099,0,3;9;4;0;1,3;9;4;0
1100,0,3;9;4;1;1;6,3;9;4;1;1
1101,0,3;9;4;1,3;9;4;1
1102,0,3;9;4;9,3;9;4
1103,0,3;9;4,3;9;4
1104,0,3;9;4;0;5,3;9;4;0
1105,0,3;9;4,3;9;4
1106,0,3;9;4,3;9;4
1107,0,3;9;4;4,3;9;4
1108,0,3;9;4;7;4;6,3;9;4;7;4
1109,0,3;9;4;7;4,3;9;4;7
1110,0,3;9;4;7;4,3;9;4;7;4
1111,0,3;9;4;7;4;1,3;9;4;7;4
1112,0,3;9;4,3;9;4
1113,0,3;9;4;6,3;9;4;6
1114,0,3;9;4;1,3;9;4
1115,0,3;9;4,3;9;4
1116,0,3;9;4;9;9;4,3;9;4;9;9;4
1117,0,3;9;4;9;9;4,3;9;4;9;9
1118,0,3;9;4;9,3;9;4;9
1119,0,3;9;4;9;7,3;9;4;9
1120,0,3;9;8;8;3,3;9;8;8;3
1121,0,3;9;8;8,3;9;8;8
1122,0,3;9;8;8;6;6,3;9;8;8;6;6
1123,0,3;9;8;8;6;6;4,3;9;8;8;6;6
1124,0,3;9;3,3;9
1125,0,3;9;7,3;9
1126,0,3;9;8;8,3;9;8
1127,0,3;9;8,3;9;8
1128,0,3;9;4;9,3;9;4;9
1129,0,3;9;4;9;2,3;9;4;9
1130,0,3;9;4,3;9;4
1131,0,3;9;4;0,3;9;4
1132,0,3;9;4;0;9,3;9;4;0;9
1133,0,3;9;4;0,3;9;4;0
1134,0,3;9;4;0;4,3;9;4;0;4
1135,0,3;9;4;0;4;8,3;9;4;0;4
1136,0,3;9;5,3;9;5
1137,0,3;9;5,3;9;5
1138,0,3;9;5;7,3;9;5
1139,0,3;9;5;7,3;9;5;7
1140,0,3;9;5;7,3;9;5
1141,0,3;9;5;0,3;9;5
1142,0,3;9;5;5;0,3;9;5;5
1143,0,3;9;5;5;4,3;9;5;5
1144,0,3;9;5;7;5;2,3;9;5;7;5
1145,0,3;9;5;7;7,3;9;5;7
1146,0,3;9;5;7,3;9;5;7
1147,0,3;9;5;7;7,3;9;5;7
1148,0,3;9;5;7;9;2;8,3;9;5;7;9;2
1149,0,3;9;5;7;9;9;4,3;9;5;7;9;9
1150,0,3;9;5;7;9,3;9;5;7;9
1151,0,3;9;5;7;9;6;5,3;9;5;7;9;6;5
1152,0,3;5;7;6,3;5;7
1153,0,3;5;7;2;0,3;5;7;2;0
1154,0,3;5;7;3;8,3;5;7;3
1155,0,3;5;7;5,3;5;7;5
1156,0,3;5;5,3;5
1157,0,3;5,3;5
1158,0,3;5,3;5
1159,0,3;5;2,3;5;2
1160,0,3;5,3;5
