source,target,weight
2155380249023}
12 8 {'weight': 0.15754887461662292}
13 6 {'weight': 2.1814188957214355}
13 11 {'weight': 1.947864294052124}
14 10 {'weight': 1.9478641748428345}
14 1 {'weight': 1.106642246246338}
15 12 {'weight': 1.0706260204315186}
15 9 {'weight': 1.840728759765625}
16 5 {'weight': 1.106642246246338}
16 2 {'weight': 1.8407288789749146}
17 14 {'weight': 0.1514262557029724}
17 16 {'weight': 0.1514262557029724}
18 17 {'weight': 0.1514262557029724}
18 0 {'weight': 1.8407288789749146}
19 7 {'weight': 1.8407288789749146}
19 15 {'weight': 0.1514262557029724}
20 18 {'weight': 0.1514262557029724}
20 3 {'weight': 2.1814191341400146}
21 13 {'weight': 0.1514262557029724}
21 20 {'weight': 0.1514262557029724}
22 19 {'weight': 0.1514262557029724}
22 21 {'weight': 0.1514262557029724}
dummy_root 22 {'weight': 0.2926802635192871}
