leaf,tape,target,non-target
256,0,5;7;7;2,5;7;7
257,0,5;7;1,5;7;1
258,0,5,5
259,0,5;6;5;0,5;6;5
260,0,,
261,0,,
262,0,,
263,0,,
264,0,,
265,0,4,
266,0,,
267,0,2;7,2
268,0,8;9,8
269,0,8;1,8
270,0,,
271,0,1,
272,0,,
273,0,4,4
274,0,0,0
275,0,0;1,0
276,0,6,
277,0,7,
278,0,5;2;3,5;2
279,0,5;9,5
280,0,6;5;4;3,6;5;4
281,0,6;5;4,6;5;4
282,0,6;5;8;7;1,6;5;8;7;1
283,0,6;5;8;7,6;5;8;7
284,0,6;7,6
285,0,6,6
286,0,6;3,6;3
287,0,6,6
288,0,1;0,1;0
289,0,1;0;1,1;0
290,0,1;0;8,1;0;8
291,0,1;0;9,1;0
292,0,1;0;3,1;0;3
293,0,1;0;2;0,1;0;2
294,0,1;0;4,1;0
295,0,1;0;7,1;0
296,0,1;0;4;2,1;0;4
297,0,1;0;4;0;9,1;0;4;0
298,0,1;0;4,1;0;4
299,0,1;0;4;7;6,1;0;4;7
300,0,1;0;6,1;0;6
301,0,1;0;4,1;0;4
302,0,1;0;9,1;0
303,0,1;0,1;0
304,0,,
305,0,0,0
306,0,5;4,5
307,0,5,5
308,0,7,7
309,0,7;0;4,7;0
310,0,7,7
311,0,7;4;6,7;4
312,0,2,2
313,0,9,
314,0,8,
315,0,,
316,0,7;7,7;7
317,0,7,7
318,0,7;4;6,7;4
319,0,7;4;9;1;4,7;4;9;1
320,0,4,4
321,0,4,4
322,0,4;5,4;5
323,0,4,4
324,0,4;6;6,4;6
325,0,4;6;7;1,4;6;7
326,0,4;6;8;6,4;6;8;6
327,0,4;6;8,4;6;8
328,0,4;1;7;6,4;1;7;6
329,0,4;1;7;3,4;1;7;3
330,0,4;1;7;5;5,4;1;7;5
331,0,4;1;7;5;3,4;1;7;5;3
332,0,4;1;9;6,4;1;9
333,0,4;1;5,4;1
334,0,4;1,4;1
335,0,4;1,4;1
336,0,4;8;6,4;8
337,0,4;8;3;7,4;8;3
338,0,4;8;3,4;8
339,0,4;8,4;8
340,0,4;8;9,4;8
341,0,4;8,4;8
342,0,4;8,4;8
343,0,4;8,4;8
344,0,4;4;4;0,4;4;4
345,0,4;4;7,4;4
346,0,4;4,4;4
347,0,4;4,4;4
348,0,4;1;9,4;1;9
349,0,4;1;1,4;1
350,0,4;3,4
351,0,4;2,4
352,0,4;0,4
353,0,4;6,4
354,0,4;9,4
355,0,4,4
356,0,4,4
357,0,4;5;0;0,4;5;0
358,0,4,4
359,0,4,4
360,0,4;9,4;9
361,0,4;9;2,4;9;2
362,0,4;9,4;9
363,0,4;9,4;9
364,0,4;9;6;3;2,4;9;6;3;2
365,0,4;9;6;3,4;9;6;3
366,0,4;9;6;8,4;9;6
367,0,4;9;6;7,4;9;6
368,0,5;6;5;0,5;6;5
369,0,5;6;5,5;6
370,0,5;6;4;6,5;6;4
371,0,5;6,5;6
372,0,5;6;8;4,5;6;8
373,0,5;6;8;6,5;6;8
374,0,5;6;9;6,5;6;9
375,0,5;6;8,5;6;8
376,0,5;7;0;2;0;2,5;7;0;2;0
377,0,5;7;0,5;7;0
378,0,5;7;0;2,5;7;0;2
379,0,5;7;0;2;7;4,5;7;0;2;7
380,0,5;7,5;7
381,0,5;7,5;7
382,0,5;7;7,5;7
383,0,5;7,5;7
384,0,7;0;2;9,7;0;2;9
385,0,7;0;2;6,7;0;2
386,0,7;0;2;7,7;0;2;7
387,0,7;0;2;7,7;0;2;7
388,0,7;0;2;6,7;0;2;6
389,0,7;0;2;6;3,7;0;2;6
390,0,7;0;2;6;2;1;9,7;0;2;6;2;1
391,0,7;0;2;6;2,7;0;2;6;2
392,0,7;0;2,7;0;2
393,0,7;0;2,7;0;2
394,0,7;0;2;3;5;6,7;0;2;3;5;6
395,0,7;0;2;3;0,7;0;2;3;0
396,0,7;0;2;6;5;5,7;0;2;6;5
397,0,7;0;2;6;1,7;0;2;6
398,0,7;0;2;6;1;1,7;0;2;6;1;1
399,0,7;0;2;6;1,7;0;2;6;1
400,0,7;0;8;9;5,7;0;8;9
401,0,7;0;8;2,7;0;8;2
402,0,7;0;8,7;0;8
403,0,7;0;8,7;0;8
404,0,7;0;8;9,7;0;8
405,0,7;0;8,7;0;8
406,0,7;0;8;8;4,7;0;8;8
407,0,7;0;8;4;0,7;0;8;4
408,0,7;0;0;2,7;0;0
409,0,7;0;0,7;0;0
410,0,7;0;1,7;0;1
411,0,7;0;7,7;0
412,0,7;0;6;9,7;0;6
413,0,7;0;6,7;0;6
414,0,7;0;2;4,7;0;2
415,0,7;0;5,7;0
416,0,7;0;5,7;0;5
417,0,7;0;5,7;0;5
418,0,7;0;6,7;0
419,0,7;0;9;9;2,7;0;9;9
420,0,7;0,7;0
421,0,7;0;2,7;0
422,0,7;0;8;6,7;0;8;6
423,0,7;0;8;1,7;0;8
424,0,7;0;7,7;0;7
425,0,7;0;7;7,7;0;7;7
426,0,7;0;7,7;0;7
427,0,7;0,7;0
428,0,7;0;5;0,7;0;5
429,0,7;0;5;5,7;0;5
430,0,7;0;1,7;0
431,0,7;0;1;4,7;0;1
432,0,7;0;2,7;0
433,0,7;0;1,7;0
434,0,7;0;4;6;5,7;0;4;6
435,0,7;0;4;8,7;0;4;8
436,0,7;0;6;0;8,7;0;6;0
437,0,7;0;6;0;8;1,7;0;6;0;8
438,0,7;0;6;9;8,7;0;6;9
439,0,7;0;6;9;3,7;0;6;9
440,0,7;0;1,7;0;1
441,0,7;0;1;0,7;0;1;0
442,0,7;0;1;9,7;0;1
443,0,7;0,7;0
444,0,7;0;6,7;0;6
445,0,7;0;2,7;0
446,0,7;0;1;8,7;0;1;8
447,0,7;0;1;8,7;0;1;8
448,0,7;9;0;1,7;9;0;1
449,0,7;9;0,7;9;0
450,0,7;9;3,7;9
451,0,7;9,7;9
452,0,7;1,7;1
453,0,7;1;3,7;1
454,0,7;1;1;1,7;1;1
455,0,7;1;1,7;1;1
456,0,7;9;2,7;9;2
457,0,7;9,7;9
458,0,7;9,7;9
459,0,7;9;2,7;9
460,0,7;1;8,7;1;8
461,0,7;1,7;1
462,0,7;1;2,7;1;2
463,0,7;1,7;1
464,0,7;7;4,7;7
465,0,7;7;1,7;7
466,0,7;7,7;7
