leaf,tape,target,non-target
50,0,4;0;6;0;9;7;7,4;0;6;0;9;7
51,0,4;0;6;0;9;8;3,4;0;6;0;9;8
52,0,4;0;6;8;9;7,4;0;6;8;9
54,0,4;0;6;9;7,4;0;6;9
63,0,4;7;1;8,4;7;1
68,0,4;9;0;9;2;3;1;9,4;9;0;9;2;3;1;9
75,0,4;9;9;0,4;9;9
87,0,4;8;7;5;6,4;8;7;5
96,0,4;0;6;0;8;9;3;8,4;0;6;0;8;9;3;8
97,0,4;0;6;0;8;9;3;9,4;0;6;0;8;9;3
101,0,4;0;6;8;2;2,4;0;6;8;2
103,0,4;0;6;8,4;0;6
117,0,4;7;3;7;5;0,4;7;3;7;5
128,0,4;9;0;9;2;5;2;3,4;9;0;9;2;5;2
129,0,4;9;0;9;2;5;8,4;9;0;9;2;5
130,0,4;9;0;9;2;1;5,4;9;0;9;2;1
131,0,4;9;0;9;2;3,4;9;0;9;2
136,0,4;9;9;2;1;5,4;9;9;2;1
137,0,4;9;9;2;1;4,4;9;9;2;1
142,0,4;9;7;6;6;9;6;0,4;9;7;6;6;9;6;0
143,0,4;9;7;6;6;9;6;6,4;9;7;6;6;9;6
144,0,4;9;7;6;6;9;0;3,4;9;7;6;6;9;0
151,0,4;8;7;4;3;3;5;6,4;8;7;4;3;3;5
165,0,4;3;8;5;9;7;6,4;3;8;5;9;7
166,0,4;3;8;5;9;3;2,4;3;8;5;9;3
167,0,4;3;8;5;9;8,4;3;8;5;9
169,0,4;4;8;9;5,4;4;8;9
176,0,4;0;6;0;8;9;7;8,4;0;6;0;8;9;7;8
178,0,4;0;6;0;8;9;2;2,4;0;6;0;8;9;2
179,0,4;0;6;0;8;9;9,4;0;6;0;8;9
183,0,4;0;6;1;3,4;0;6;1
185,0,4;3;9;2;0;7;6,4;3;9;2;0;7
192,0,4;3;1;0;6;5;4;3,4;3;1;0;6;5;4;3
193,0,4;3;1;0;6;5;4;9,4;3;1;0;6;5;4
201,0,4;3;0;9;8;9,4;3;0;9;8
208,0,4;7;3;7;5;2;6;3,4;7;3;7;5;2;6;3
209,0,4;7;3;7;5;2;6;2,4;7;3;7;5;2;6
211,0,4;9;0;9;8;3;3;8,4;9;0;9;8;3;3;8
213,0,4;9;0;9;8;3;3;8,4;9;0;9;8;3;3;8
216,0,4;9;0;9;8;3;3;8,4;9;0;9;8;3;3;8
217,0,4;9;0;9;8;3;3;8,4;9;0;9;8;3;3;8
218,0,4;9;0;9;8;9;9;2,4;9;0;9;8;9;9;2
220,0,4;9;0;9;8;9;9;1,4;9;0;9;8;9;9;1
225,0,4;9;0;9;8;5,4;9;0;9;8
231,0,4;9;9;8;8;5;6;7,4;9;9;8;8;5;6;7
232,0,4;9;9;8;8;5;6;6,4;9;9;8;8;5;6;6
236,0,4;9;9;8;8;5;0;2,4;9;9;8;8;5;0
237,0,4;9;9;8;8;5;0,4;9;9;8;8;5
238,0,4;9;4;7;1;4;1,4;9;4;7;1;4
239,0,4;9;4;7;1;6,4;9;4;7;1
242,0,4;9;4;4;6;9;3;9,4;9;4;4;6;9;3
243,0,4;9;4;4;6;9;9,4;9;4;4;6;9
246,0,4;9;7;6;6;9;2;2,4;9;7;6;6;9;2
247,0,4;9;7;6;6;9;2,4;9;7;6;6;9
254,0,4;8;7;4;3;7;6;6,4;8;7;4;3;7;6;6
256,0,4;8;7;4;3;3;7;9,4;8;7;4;3;3;7;9
257,0,4;8;7;4;3;3;7;9,4;8;7;4;3;3;7;9
262,0,4;8;7;6;7;4;9;3,4;8;7;6;7;4;9
263,0,4;8;7;6;7;4;6;1,4;8;7;6;7;4;6
264,0,4;8;7;6;7;9;2,4;8;7;6;7;9
270,0,4;8;7;5;9;3;0,4;8;7;5;9;3;0
271,0,4;8;7;5;9;3;8,4;8;7;5;9;3
272,0,4;8;7;5;9;9;8,4;8;7;5;9;9
273,0,4;8;7;5;9;2,4;8;7;5;9
274,0,4;3;8;4;0;8;8;9,4;3;8;4;0;8;8;9
280,0,4;3;8;4;8;6;7;3,4;3;8;4;8;6;7
281,0,4;3;8;4;8;6;2,4;3;8;4;8;6
290,0,4;2;6;5;5,4;2;6;5
294,0,4;3;2;5;4,4;3;2;5
295,0,4;3;2;0,4;3;2
298,0,4;0;6;0;8;9;7;2,4;0;6;0;8;9;7;2
299,0,4;0;6;0;8;9;7;4,4;0;6;0;8;9;7
300,0,4;0;6;8;5;1;8;4,4;0;6;8;5;1;8
301,0,4;0;6;8;5;1;7,4;0;6;8;5;1
303,0,4;0;6;8;5;5;6,4;0;6;8;5;5
304,0,4;0;6;1;9;0;2;2,4;0;6;1;9;0;2
305,0,4;0;6;1;9;0;5,4;0;6;1;9;0
310,0,4;3;9;2;9;5,4;3;9;2;9
311,0,4;3;9;2;7,4;3;9;2
315,0,4;3;9;4;4;5;5,4;3;9;4;4;5
329,0,4;3;3;1;9;2;0;5,4;3;3;1;9;2;0
330,0,4;3;3;1;6;6,4;3;3;1;6
331,0,4;3;3;1;2,4;3;3;1
332,0,4;3;0;9;8;6;8;1,4;3;0;9;8;6;8
333,0,4;3;0;9;8;6;5,4;3;0;9;8;6
337,0,4;3;0;8;1,4;3;0;8
338,0,4;3;5;9;2;1,4;3;5;9;2
339,0,4;3;5;9;2,4;3;5;9
342,0,4;3;7;3;7;1;6,4;3;7;3;7;1
344,0,4;3;2;7,4;3;2
346,0,4;9;0;9;8;3;3;8,4;9;0;9;8;3;3;8
347,0,4;9;0;9;8;3;3;8,4;9;0;9;8;3;3;8
348,0,4;9;0;9;8;3;3;8,4;9;0;9;8;3;3;8
349,0,4;9;0;9;8;3;3;8,4;9;0;9;8;3;3;8
350,0,4;9;0;9;8;3;3;8,4;9;0;9;8;3;3;8
351,0,4;9;0;9;8;3;3;8,4;9;0;9;8;3;3;8
354,0,4;9;0;9;8;9;9;2,4;9;0;9;8;9;9;2
355,0,4;9;0;9;8;9;9;2,4;9;0;9;8;9;9;2
356,0,4;9;0;9;8;9;9;7,4;9;0;9;8;9;9;7
357,0,4;9;0;9;8;9;9;7,4;9;0;9;8;9;9
358,0,4;9;0;9;8;7;4;5,4;9;0;9;8;7;4;5
359,0,4;9;0;9;8;7;4;5,4;9;0;9;8;7;4;5
365,0,4;9;0;9;2;3;1;6,4;9;0;9;2;3;1;6
366,0,4;9;0;9;2;3;1;6,4;9;0;9;2;3;1;6
367,0,4;9;0;9;2;3;1;6,4;9;0;9;2;3;1;6
368,0,4;9;0;9;2;3;1;7,4;9;0;9;2;3;1;7
369,0,4;9;0;9;2;3;1;7,4;9;0;9;2;3;1;7
370,0,4;9;0;9;2;3;1;8,4;9;0;9;2;3;1;8
371,0,4;9;0;9;2;3;1;3,4;9;0;9;2;3;1
372,0,4;9;9;8;8;5;6;7,4;9;9;8;8;5;6;7
373,0,4;9;9;8;8;5;6;7,4;9;9;8;8;5;6;7
374,0,4;9;9;8;8;5;6;6,4;9;9;8;8;5;6;6
375,0,4;9;9;8;8;5;6;6,4;9;9;8;8;5;6;6
376,0,4;9;9;8;8;5;5;7,4;9;9;8;8;5;5;7
377,0,4;9;9;8;8;5;5;7,4;9;9;8;8;5;5;7
381,0,4;9;4;7;4;2;8;8,4;9;4;7;4;2;8
