leaf,tape,target,non-target
76,0,4;9;3;9;7;3;4;1,4;9;3;9;7;3;4
125,0,4;9;1;7;3;1;8;0,4;9;1;7;3;1;8;0
222,0,0;4;5;0,0;4;5
237,0,4;9;1;7;4;3,4;9;1;7;4
243,0,4;9;3;5;2;9,4;9;3;5;2
256,0,4;6;5;0;3,4;6;5;0
262,0,4;2;9;4;6;4;6;4,4;2;9;4;6;4;6
349,0,9;4;6;5;1;1;1,9;4;6;5;1;1
374,0,4;9;1;7;5;6;7;3,4;9;1;7;5;6;7;3
376,0,4;9;1;7;5;6;7;3,4;9;1;7;5;6;7;3
388,0,4;9;1;7;4;3;6;2,4;9;1;7;4;3;6
396,0,4;9;3;5;2;2;0;5,4;9;3;5;2;2;0
407,0,4;6;7;7;5,4;6;7;7
412,0,4;2;9;4;5;6;0;1,4;2;9;4;5;6;0;1
417,0,4;2;2;8;3;2;0,4;2;2;8;3;2
423,0,4;2;2;3,4;2;2
433,0,4;9;3;9;6,4;9;3;9
462,0,2;5;8;3;8;4;0;9,2;5;8;3;8;4;0
475,0,2;5;8;3;6,2;5;8;3
526,0,2;5;4;3;5;0;7;2,2;5;4;3;5;0;7
528,0,2;5;4;3;5;7;5,2;5;4;3;5;7
530,0,2;5;4;3;3;9;4,2;5;4;3;3;9
532,0,2;5;4;3;4;1,2;5;4;3;4
539,0,2;5;4;3;3,2;5;4;3
556,0,9;3;2;7;6,9;3;2;7
557,0,9;3;2;8,9;3;2
570,0,5;9;3;6;0;3;0;8,5;9;3;6;0;3;0
579,0,4;9;1;7;5;6;7;5,4;9;1;7;5;6;7
588,0,4;9;1;7;3;9;0;0,4;9;1;7;3;9;0
590,0,4;9;1;7;3;4;9,4;9;1;7;3;4
610,0,4;6;9;8;3,4;6;9;8
614,0,4;2;2;8;0;1,4;2;2;8;0
619,0,4;2;2;0;2,4;2;2;0
627,0,4;2;0;3;9;6;8,4;2;0;3;9;6
642,0,4;9;0;6;8;9,4;9;0;6;8
658,0,2;5;8;3;5;9;0;6,2;5;8;3;5;9;0;6
663,0,2;5;8;3;5;2;5;5,2;5;8;3;5;2;5;5
664,0,2;5;8;3;5;2;5;5,2;5;8;3;5;2;5;5
671,0,2;5;8;2;0;2;6;5,2;5;8;2;0;2;6;5
672,0,2;5;8;2;8;2;7;0,2;5;8;2;8;2;7;0
675,0,2;5;8;2;8;2;3,2;5;8;2;8;2
678,0,2;5;8;2;8;5;6,2;5;8;2;8;5
697,0,2;5;0;5;8;7;1;7,2;5;0;5;8;7;1;7
704,0,2;5;0;5;4;1;4;5,2;5;0;5;4;1;4;5
716,0,2;5;0;0;4;3;8;7,2;5;0;0;4;3;8;7
717,0,2;5;0;0;4;3;8;7,2;5;0;0;4;3;8;7
723,0,2;5;0;9;4;7;2;4,2;5;0;9;4;7;2;4
731,0,2;5;4;5;6;3;4;5,2;5;4;5;6;3;4
735,0,2;5;4;5;9,2;5;4;5
750,0,2;5;6;0;7;9,2;5;6;0;7
758,0,4;4;3;5;1;0,4;4;3;5;1
760,0,4;4;3;6;9;2,4;4;3;6;9
768,0,2;3;5,2;3
769,0,2;5,2
809,0,4;2;0;8;0;2;9,4;2;0;8;0;2
820,0,2;5;8;3;5;9;1;5,2;5;8;3;5;9;1;5
827,0,2;5;8;3;5;9;8;7,2;5;8;3;5;9;8;7
828,0,2;5;8;3;5;9;8;7,2;5;8;3;5;9;8;7
839,0,2;5;8;3;8;1;8,2;5;8;3;8;1
840,0,2;5;8;2;8;2;7;0,2;5;8;2;8;2;7;0
842,0,2;5;8;2;8;9;6,2;5;8;2;8;9
850,0,2;5;0;5;8;7;6;6,2;5;0;5;8;7;6;6
865,0,2;5;0;5;4;1;4;5,2;5;0;5;4;1;4;5
866,0,2;5;0;5;4;6;3;8,2;5;0;5;4;6;3;8
873,0,2;5;0;5;4;3;8;6,2;5;0;5;4;3;8
882,0,2;5;0;9;4;7;4;4,2;5;0;9;4;7;4
886,0,2;5;4;5;6;3;4;6,2;5;4;5;6;3;4;6
901,0,2;5;3;6;1;3;8,2;5;3;6;1;3
911,0,4;9;1;7;0;3;7;6,4;9;1;7;0;3;7;6
920,0,4;9;1;7;4;3;1;8,4;9;1;7;4;3;1;8
935,0,4;2;0;5;7,4;2;0;5
969,0,2;5;0;5;8;7;6;6,2;5;0;5;8;7;6;6
980,0,2;5;0;5;4;6;3;0,2;5;0;5;4;6;3;0
985,0,2;5;0;5;4;6;4;9,2;5;0;5;4;6;4;9
987,0,2;5;0;5;4;6;4;9,2;5;0;5;4;6;4;9
1001,0,2;5;0;2;0;1;9,2;5;0;2;0;1
1015,0,4;9;1;7;0;3;7;6,4;9;1;7;0;3;7;6
1029,0,4;6;4;8;4,4;6;4;8
1042,0,2;5;0;5;8;7;6;6,2;5;0;5;8;7;6;6
1043,0,2;5;0;5;8;7;6;6,2;5;0;5;8;7;6;6
1056,0,2;5;0;2;0;3;9;7,2;5;0;2;0;3;9;7
1063,0,2;5;0;2;0;3;7;2,2;5;0;2;0;3;7;2
1074,0,2;5;0;5;8;7;6;6,2;5;0;5;8;7;6;6
1078,0,2;5;0;2;0;3;3;6,2;5;0;2;0;3;3;6
1081,0,4;9;1;7;0;3;7;6,4;9;1;7;0;3;7;6
