leaf,tape,target,non-target
256,0,8;3;6;1,8;3;6
257,0,8;3;6;5,8;3;6
258,0,8;3,8;3
259,0,8;3;7,8;3;7
260,0,8;3;1;2,8;3;1;2
261,0,8;3;1,8;3;1
262,0,8;3,8;3
263,0,8;3,8;3
264,0,8;3;9;0;6,8;3;9;0
265,0,8;3;9,8;3;9
266,0,8;3;9;3,8;3;9
267,0,8;3;9,8;3;9
268,0,8;3;9;4,8;3;9;4
269,0,8;3;9;4;3,8;3;9;4
270,0,8;3;9;4;2,8;3;9;4;2
271,0,8;3;9;4;2;5;6,8;3;9;4;2;5
272,0,8,8
273,0,8;4,8
274,0,8;2;8,8;2
275,0,8;7;1,8;7
276,0,0;5,0
277,0,0;8,0
278,0,0;1,0;1
279,0,0;0,0
280,0,9,9
281,0,9,9
282,0,9;1,9;1
283,0,9,9
284,0,7;3,7
285,0,1,1
286,0,6;0,6
287,0,,
288,0,2;4,2
289,0,2;0,2
290,0,2;1;8,2;1
291,0,2;1,2;1
292,0,,
293,0,3,3
294,0,3,
295,0,8,
296,0,6;7;4,6;7
297,0,6,6
298,0,6;6,6;6
299,0,6;6,6;6
300,0,6;2;5,6;2
301,0,6;2,6;2
302,0,6;2;5,6;2;5
303,0,6;2;5;5;5,6;2;5;5
304,0,8,8
305,0,8;2,8
306,0,8;1;1,8;1
307,0,8;3,8
308,0,9;2,9;2
309,0,9;2;3,9;2;3
310,0,9,9
311,0,9;6,9
312,0,,
313,0,,
314,0,2;6,2
315,0,2,2
316,0,6,6
317,0,6;4,6
318,0,6;7,6
319,0,6,6
320,0,9;0,9
321,0,9;2,9;2
322,0,9,9
323,0,9;7;8,9;7
324,0,9;8,9
325,0,9,9
326,0,9;9,9;9
327,0,9,9
328,0,9,9
329,0,9;1,9;1
330,0,9;9;8,9;9
331,0,9;4,9
332,0,9;3,9;3
333,0,9,9
334,0,9;5,9
335,0,9,9
336,0,9;7,9
337,0,9,9
338,0,9;4,9
339,0,9;5,9
340,0,9;5;5,9;5;5
341,0,9;5;5;0;3,9;5;5;0
342,0,9;5,9;5
343,0,9;5;4,9;5;4
344,0,9;1;6;7,9;1;6
345,0,9;1;7,9;1
346,0,9;1,9;1
347,0,9;1;8,9;1;8
348,0,9;1;3;5;1,9;1;3;5;1
349,0,9;1;3;5;1;3,9;1;3;5;1
350,0,9;1;3;1,9;1;3;1
351,0,9;1;3;6,9;1;3
352,0,9;7,9;7
353,0,9,9
354,0,9,9
355,0,9;9,9
356,0,9,9
357,0,9,9
358,0,9,9
359,0,9;6,9
360,0,9;3;3,9;3
361,0,9;3;5;8,9;3;5
362,0,9;3;4,9;3
363,0,9;3,9;3
364,0,9;3;0;2;5,9;3;0;2
365,0,9;3;0;7,9;3;0
366,0,9;3;0;7;2,9;3;0;7
367,0,9;3;0;2,9;3;0
368,0,9;0,9;0
369,0,9;0;9;0,9;0;9
370,0,9;0;3;3;0,9;0;3;3;0
371,0,9;0;3;7,9;0;3
372,0,9;2;2;9,9;2;2
373,0,9;2,9;2
374,0,9;6,9;6
375,0,9;3,9
376,0,9,9
377,0,9;5,9
378,0,9;0,9;0
379,0,9;0,9;0
380,0,9;2,9
381,0,9,9
382,0,9,9
383,0,9,9
384,0,2,2
385,0,2;5,2
386,0,2;7;2,2;7
387,0,2;7;6,2;7
388,0,7;8;8,7;8
389,0,7,
390,0,,
391,0,5,5
392,0,,
393,0,7,
394,0,4;9,4
395,0,,
396,0,7;6,7;6
397,0,7;6;6,7;6
398,0,4;5,4
399,0,8;8,8
400,0,9;2;0;7,9;2;0
401,0,9;2;0,9;2;0
402,0,9;2,9;2
403,0,9;2,9;2
404,0,9;2,9;2
405,0,9;2;7,9;2
406,0,9;2;3;0,9;2;3
407,0,9;2;5,9;2;5
408,0,9;2;4;4,9;2;4;4
409,0,9;2;4;9,9;2;4
410,0,9;2;4;5,9;2;4
411,0,9;2;4,9;2;4
412,0,9;2;4;6;5;0,9;2;4;6;5
413,0,9;2;4;6,9;2;4;6
414,0,9;2;4;6;2,9;2;4;6
415,0,9;2;4;6,9;2;4;6
416,0,8,8
417,0,8;3;9,8;3
418,0,8;4;2,8;4
419,0,8;1,8
420,0,8;3;5,8;3
421,0,8;3;1;2,8;3;1
422,0,8;3;7;4,8;3;7
423,0,8;3,8;3
424,0,8;4,8
425,0,6,
426,0,1,
427,0,5;2,5
428,0,6;9,6
429,0,6;6,6;6
430,0,6;0,6
431,0,6;6,6;6
432,0,7;3;8,7;3
433,0,7;3;7,7;3
434,0,7;1,7;1
435,0,7;1,7
436,0,7,7
437,0,7;3,7
438,0,7,7
439,0,7,7
440,0,,
441,0,1,
442,0,1;8,1
443,0,1;5,1
444,0,8,8
445,0,,
446,0,9;8,9
447,0,9,9
448,0,2;9;0;6,2;9;0
449,0,2;9;0;4,2;9;0;4
450,0,2;9;0;4;2,2;9;0;4
451,0,2;9;0,2;9;0
452,0,2;9;0;9;1,2;9;0;9
453,0,2;9;0;9,2;9;0;9
454,0,2;9;0;9;5;0,2;9;0;9;5;0
455,0,2;9;0;9;5;0,2;9;0;9;5;0
456,0,2;9;0;5;6;1,2;9;0;5;6
457,0,2;9;0;5;6;3,2;9;0;5;6;3
458,0,2;9;0;5;6;7;9,2;9;0;5;6;7;9
459,0,2;9;0;5;6;7;9;9,2;9;0;5;6;7;9;9
460,0,2;9;0;5;6;4;3;2,2;9;0;5;6;4;3;2
461,0,2;9;0;5;6;4;3;2,2;9;0;5;6;4;3;2
462,0,2;9;0;5;6;4;3;2,2;9;0;5;6;4;3
463,0,2;9;0;5;6;4;3;8,2;9;0;5;6;4;3
464,0,2;9;0;3;4;6;4;8,2;9;0;3;4;6;4;8
465,0,2;9;0;3;4;6;4;8,2;9;0;3;4;6;4;8
466,0,2;9;0;3;4,2;9;0;3;4
467,0,2;9;0;3;4,2;9;0;3;4
468,0,2;9;0;3;7;2,2;9;0;3;7
469,0,2;9;0;3;7,2;9;0;3;7
470,0,2;9;0;3,2;9;0;3
471,0,2;9;0;3;7,2;9;0;3
472,0,2;9;0,2;9;0
473,0,2;9;0;8;4,2;9;0;8
474,0,2;9;0;7;3,2;9;0;7
475,0,2;9;0;7,2;9;0;7
476,0,2;9;0,2;9;0
477,0,2;9;0;9,2;9;0
478,0,2;9;0,2;9;0
479,0,2;9;0,2;9;0
480,0,2;6;5;5;2;8;8,2;6;5;5;2;8;8
481,0,2;6;5;5;2;8,2;6;5;5;2;8
482,0,2;6;5;5;2,2;6;5;5;2
483,0,2;6;5;5;2,2;6;5;5;2
484,0,2;6;5;5;2;0,2;6;5;5;2;0
485,0,2;6;5;5;2;0;8;6,2;6;5;5;2;0;8
486,0,2;6;5;5;2;0;4,2;6;5;5;2;0
487,0,2;6;5;5;2;0,2;6;5;5;2;0
488,0,2;6;5;5;1;4;4;0,2;6;5;5;1;4;4;0
489,0,2;6;5;5;1;4;4;7,2;6;5;5;1;4;4
490,0,2;6;5;5;1;4,2;6;5;5;1;4
491,0,2;6;5;5;1;4,2;6;5;5;1;4
492,0,2;6;5;5;0;7;9,2;6;5;5;0;7
493,0,2;6;5;5;0;7;0,2;6;5;5;0;7
494,0,2;6;5;5;0;1,2;6;5;5;0;1
495,0,2;6;5;5;0;1,2;6;5;5;0;1
496,0,2;6,2;6
497,0,2;6,2;6
498,0,2;6,2;6
499,0,2;6;7,2;6
500,0,2;6;1;5;4,2;6;1;5
501,0,2;6;1;5,2;6;1;5
502,0,2;6;1,2;6;1
503,0,2;6;1;6,2;6;1
504,0,2;6;3,2;6;3
505,0,2;6;3;8,2;6;3;8
506,0,2;6;3,2;6;3
507,0,2;6;3;7;6,2;6;3;7
508,0,2;6;9,2;6;9
509,0,2;6;9;0,2;6;9;0
510,0,2;6,2;6
511,0,2;6;4,2;6
