parent,child,weight
0,1,5.53332464582657
1,2,0.17016722363079598
1,3,1.0061108391175941
2,4,0.7848638096480036
2,5,5.1965006204162725
3,6,9.087702425630699
3,7,1.5427046399983761
4,8,2.068280990511662
4,9,3.0638950108065734
5,10,1.9706559808787054
5,11,2.2354688186497236
6,12,1.813101583210952
6,13,4.372862089425137
7,14,9.692239017919949
7,15,1.4772013178796493
8,16,8.232636092699714
8,17,0.9116608297845602
9,18,3.8412163457939403
9,19,5.8953853047015174
10,20,1.0983742704207462
10,21,3.4962960765215185
11,22,5.816155161053094
11,23,2.3968233605243183
12,24,2.559760506214186
12,25,0.6480649540732849
14,26,2.2256208571375105
14,27,2.2256208571375105
15,28,1.9798673958699706
15,29,0.3235140309037972
16,30,0.8591195377929353
16,31,3.2107272376832547
17,32,1.4922540978227647
17,33,2.2666643885803373
18,34,4.973083352500827
18,35,0.8350476565461777
19,36,1.6743590800642094
19,37,4.55236400538654
20,38,4.888327946379044
20,39,4.8055380715347855
21,40,3.6330554527261363
21,41,3.6330554527261363
22,42,1.0483835304235427
22,43,1.0483835304235427
23,44,2.013431107344407
23,45,4.46771533095232
25,46,1.1662604372657446
25,47,1.9116955521409018
28,48,1.6275667397082256
28,49,1.5541002263130383
29,50,4.737918940462617
29,51,3.307904677400268
30,52,2.3516076998903195
30,53,2.3516076998903195
32,54,5.098068431832712
32,55,1.7058624667006426
33,56,2.251963485447714
33,57,6.8545279733044
34,58,1.6334496117932886
34,59,1.6334496117932886
35,60,4.298449641907785
35,61,4.728438047634293
36,62,2.8780049253223297
36,63,2.8780049253223297
38,64,1.1426493124478654
38,65,1.1426493124478654
39,66,1.2254391872921246
39,67,0.5897285052232778
44,68,1.6301873385388086
44,69,0.5346194066946989
46,70,0.745435114875157
46,71,0.745435114875157
48,72,1.4310060241563576
48,73,1.3835736149149842
49,74,2.749089728185776
49,75,4.989998737073856
50,76,5.379225585811396
50,77,4.081504561827904
51,78,3.708799813246265
51,79,6.8092398488737444
54,80,0.7333395579325807
54,81,3.9413799709429327
55,82,0.7334484318970026
55,83,4.834078780141034
56,84,3.0897902530925436
56,85,3.353524447881174
57,86,1.410510138713672
57,87,1.410510138713672
60,88,1.4730356658401504
60,89,1.4730356658401504
61,90,1.0430472601136458
61,91,0.9427518779603558
67,92,0.6357106820688472
67,93,0.6357106820688472
68,94,0.8240968850691068
68,95,0.8240968850691068
69,96,1.9196648169132153
69,97,1.9196648169132153
72,98,2.372381089608184
72,99,0.7661501478054891
73,100,3.794776246670721
73,101,5.44965080668463
74,102,4.1576012068090265
74,103,1.8140809977508008
75,104,1.9166921979209448
75,105,1.9166921979209448
77,106,1.2977210239834918
77,107,1.2977210239834918
78,108,3.1004400356274786
78,109,2.813837630555445
80,110,1.8202841964007541
80,111,1.2608520198153297
82,112,2.8302589563920635
82,113,2.112407787688286
83,114,1.4561651841212064
83,115,2.499507155933969
84,116,2.923284373477813
84,117,2.923284373477813
85,118,2.3594969550433667
85,119,2.6595501786891838
91,120,0.10029538215329126
91,121,0.10029538215329126
98,122,2.811450958778147
98,123,2.0257188962590345
99,124,3.006850173227957
99,125,4.63606824963777
100,126,1.6548745600139085
100,127,1.6548745600139085
103,128,2.3435202090582266
103,129,1.7643580410669466
109,130,0.2866024050720348
109,131,0.2866024050720348
110,132,1.3877562166095991
110,133,1.0762036508861994
111,134,1.9471883931950202
111,135,1.9471883931950202
112,136,3.3622639341994085
112,137,3.769878547785936
113,138,3.3402636968013666
113,139,4.487729716489714
114,140,1.0433419718127617
114,141,1.0433419718127617
118,142,0.30005322364581843
118,143,0.30005322364581843
122,144,0.218386349056928
122,145,0.218386349056928
123,146,1.0041184115760373
123,147,1.0041184115760373
124,148,0.6540835495303936
124,149,1.6292180764098134
129,150,0.5791621679912815
129,151,0.5791621679912815
133,152,0.3115525657233995
133,153,0.3115525657233995
136,154,0.40761461358652795
136,155,0.40761461358652795
138,156,0.7047863627972155
138,157,1.1474660196883484
148,158,0.9751345268794189
148,159,0.9751345268794189
156,160,0.44267965689113353
156,161,0.44267965689113353
