parent,child,weight
internal_70,internal_74,0.17470836639404297
internal_70,internal_88,1.4412269592285156
internal_71,688,13.294301986694336
internal_71,internal_72,7.277805328369141
internal_72,internal_73,0.03448200225830078
internal_72,816,6.016496658325195
internal_73,958,5.9820146560668945
internal_73,952,5.9820146560668945
internal_74,internal_71,2.470229148864746
internal_74,internal_89,1.6772899627685547
internal_75,internal_76,2.0611753463745117
internal_75,internal_81,0.1791210174560547
internal_76,850,9.338808059692383
internal_76,internal_77,4.483804225921631
internal_77,842,4.855003833770752
internal_77,internal_78,0.050567626953125
internal_78,internal_79,3.4595019817352295
internal_78,internal_80,0.07223749160766602
internal_79,930,1.3449342250823975
internal_79,931,1.3449342250823975
internal_80,548,4.732198715209961
internal_80,934,4.732198715209961
internal_81,internal_82,8.628501892089844
internal_81,internal_83,0.0018301010131835938
internal_82,937,2.5923609733581543
internal_82,985,2.5923609733581543
internal_83,internal_84,6.302729606628418
internal_83,internal_85,4.382132530212402
internal_84,929,4.916302680969238
internal_84,972,4.916302680969238
internal_85,987,6.836899757385254
internal_85,internal_86,1.240706443786621
internal_86,941,5.596193313598633
internal_86,internal_87,2.080533742904663
internal_87,737,3.5156595706939697
internal_87,861,3.5156595706939697
internal_88,internal_75,3.098029136657715
internal_88,internal_113,0.44608306884765625
internal_89,internal_97,0.014319419860839844
internal_89,internal_99,0.014402389526367188
internal_90,internal_91,6.5089898109436035
internal_90,internal_95,1.336050033569336
internal_91,868,6.538965702056885
internal_91,internal_92,0.3178286552429199
internal_92,internal_93,4.094903945922852
internal_92,internal_94,0.12659597396850586
internal_93,579,2.126232862472534
internal_93,581,2.126232862472534
internal_94,590,6.094541072845459
internal_94,754,6.094541072845459
internal_95,872,11.711905479431152
internal_95,internal_96,11.096559524536133
internal_96,600,0.6153460741043091
internal_96,767,0.6153460741043091
internal_97,internal_98,3.1753244400024414
internal_97,internal_90,1.0249662399291992
internal_98,436,10.897597312927246
internal_98,991,10.897597312927246
internal_99,internal_100,4.633707046508789
internal_99,internal_103,0.1990499496459961
internal_100,internal_101,4.009110927581787
internal_100,internal_102,1.4904828071594238
internal_101,147,5.430020809173584
internal_101,148,5.430020809173584
internal_102,83,7.948648929595947
internal_102,150,7.948648929595947
internal_103,internal_104,6.09256649017334
internal_103,internal_106,4.051063537597656
internal_104,internal_105,1.7462224960327148
internal_104,237,7.781222343444824
internal_105,248,6.034999847412109
internal_105,575,6.034999847412109
internal_106,internal_107,5.57561731338501
internal_106,internal_108,2.845350742340088
internal_107,776,4.247107982635498
internal_107,880,4.247107982635498
internal_108,internal_110,1.6707587242126465
internal_108,internal_111,2.5092597007751465
internal_109,780,3.4122061729431152
internal_109,882,3.4122061729431152
internal_110,782,5.306615829467773
internal_110,internal_109,1.8944096565246582
internal_111,internal_112,2.217984676361084
internal_111,452,4.468114852905273
internal_112,450,2.2501301765441895
internal_112,785,2.2501301765441895
internal_113,internal_114,4.865175247192383
internal_113,internal_129,0.16907882690429688
internal_114,internal_118,0.1458301544189453
internal_114,internal_119,2.5563712120056152
internal_115,638,6.588443279266357
internal_115,internal_116,4.019938945770264
internal_116,649,2.5685043334960938
internal_116,internal_117,1.0827118158340454
internal_117,646,1.4857925176620483
internal_117,647,1.4857925176620483
internal_118,internal_123,0.05227470397949219
internal_118,internal_115,2.4524807929992676
internal_119,internal_120,0.013485908508300781
internal_119,806,6.630383014678955
internal_120,internal_121,0.03545713424682617
internal_120,663,6.616897106170654
internal_121,297,6.581439971923828
internal_121,internal_122,3.847181797027588
internal_122,804,2.7342581748962402
internal_122,805,2.7342581748962402
internal_123,175,8.988649368286133
internal_123,internal_124,2.988199234008789
internal_124,internal_127,0.019623279571533203
internal_124,internal_128,2.467127561569214
internal_125,internal_126,1.286027193069458
internal_125,319,3.994264602661133
internal_126,485,2.708237409591675
internal_126,654,2.708237409591675
internal_127,801,5.9808268547058105
internal_127,internal_125,1.9865622520446777
internal_128,322,3.53332257270813
internal_128,323,3.53332257270813
internal_129,internal_130,5.937577724456787
internal_129,internal_132,6.541149616241455
internal_130,696,7.945272922515869
internal_130,internal_131,3.678689956665039
internal_131,343,4.26658296585083
internal_131,344,4.26658296585083
internal_132,internal_133,3.143566131591797
internal_132,internal_135,0.36357975006103516
internal_133,898,4.198134899139404
internal_133,internal_134,2.060540199279785
internal_134,820,2.137594699859619
internal_134,821,2.137594699859619
internal_135,internal_136,0.5020360946655273
internal_135,699,6.978121280670166
internal_136,internal_137,0.3445305824279785
internal_136,911,6.476085186004639
internal_137,internal_138,4.9009833335876465
internal_137,537,6.13155460357666
internal_138,914,1.2305712699890137
internal_138,915,1.2305712699890137
-1,internal_70,0.33372077345848083
